名字,公司,介绍,公司,地址,身份证,时间,法人,注册金额,编号,网址
玻机智能,上海玻机智能幕墙股份有限公司,"""公司成立于2003年,2008年8月加入润邦集团,玻机智能幕墙于2011年8月引进战略投资者,私募融资1.06亿元,2011年12月底完成股份改制更名为上海玻机智能幕墙股份有限公司,注册资本金为7500万元。公司现为中国装饰装修协会幕墙委副主任委员单位、上海市装饰装修行业协会会员单位、上海市金属结构行业协会理事单位,拥有建设部颁发的建筑幕墙工程、金属门窗工程专业承包壹级资质和建筑幕墙工程设计专项甲级资质。通过IS09001:2000质量管理体系认证,IS014001:2004环璄管理体系认证,职业健康管理体""",上海玻机智能幕墙股份有限公司,上海市闵行区颛兴东路1277弄63号309室,310112000399872,2003-02-27,林磊,15300万元人民币,91310000747618634H,www.brightsh.com.cn
机器人派遣租赁,天津经为科技有限公司,机器人派遣租赁是一个主要从事工业机器人应用技术和系统集成以及智能化设备研发、生产、销售、服务的企业，产品主要涉及涂装、焊装、组装、打磨、检测、无人搬运以及工厂物流系统。,天津经为科技有限公司,,120118000198660,2016-10-31,王宝庄,2000万元人民币,91120118MA05LE5A8A
赣能股份,江西赣能股份有限公司,"""江西赣能股份有限公司是一家主要从事于电力生产及销售的企业.其主营业务范围为火力、水力发电,节能项目开发,锅炉安装及维修等.公司形成了水火并举、以电为主的发展格局,同时积极加快进军路桥等基础行业和高科技领域,实现投资领域的适度多元化。""",江西赣能股份有限公司,江西省南昌市高新区火炬大街１９９号,360000110008001,1997-11-04,揭小健,97567.776万元人民币,913600001583122317,www.000899.com
瑞声科技控股,瑞声声学科技（深圳）有限公司,瑞声声学科技（深圳）有限公司，是瑞声科技控股有限公司（以下简称“瑞声科技”）属下的子公司。瑞声科技以提升用户体验及客户满意度为出发点，以仿真技术为基础，利用强大的研发团队与先进的制造技术，结合大数据管理，持续为移动终端、机器人、无人驾驶汽车等智能设备提供硬件、软件高度结合的技术解决方案。,瑞声声学科技（深圳）有限公司,深圳市南山区科技园南区粤兴三道6号南京大学产学研基地A座6楼(办公)。,440301503263494,2004-01-12,狄建林,10000万美元,91440300755683997C,www.aactechnologies.com
读宠,天津蛋壳网络科技有限公司,读宠,天津蛋壳网络科技有限公司,,120103000328190,未知,刘东东,100万元人民币,91120103MA05WQFU83
拓展我青春,天津开平科技有限公司,"""“拓展我青春”项目是将共享经济的理念引入到大学生的自身素质锻炼提高活动中,通过共享社会资源,使大学生能有机会参加各种拓展训练,达到提高自身的素质能力的目的。并且在互联网上建立起信息交流平台,达到创业合作、技能扶持、优势互助、共同发展的目的。使参加过活动的大学生在未来的工作、生活中具备很高的个人修养和广泛的社会联络,从而达到个人和整体的进步和发展。""",天津开平科技有限公司,,120222000594915,2017-07-07,王邢伟,100万元人民币,91120222MA05TD8M6M
安易信,北京安易信科技有限公司,北京安易信科技有限公司（简称：安易信）是一家从事软件研发和互联网信息服务的公司。安易信利用互联网及大数据的前瞻技术，建立基于互联网的信息服务平台。安易信对互联网大数据有着独到的见解，通过对行业市场信息和海量数据的整合、分析，帮助企业把握外部风险。,北京安易信科技有限公司,北京市海淀区知春路7号致真大厦D座15层1503,110108017352664,2014-06-09,杨志强,750万元人民币,91110108397467740E,www.anytrust.cn
锐文科技,浙江锐文科技有限公司,锐文科技是一家智能光纤网络适配器研发商，支持一系列不同宽带的光纤接口，可以应用于标准的服务器硬件上，以支持现代数据中心的功能需求，比如网络虚拟化、硬件加速等。通过虚拟化网络服务来降低空间占用和能源消耗，通过创建网络抽象层以实现更便捷的网络重组及创新。 该适配器可在不改变数据中心现有构架的前提下，提供高性能低延迟的服务器和网络的接口交互，并可根据客户需求提供定制化应用产品。,浙江锐文科技有限公司,浙江省衢州市柯城区凯旋南路6号2幢B区201-6室,330800000117138,未知,阎燕,2000万元人民币,91330800MA29T9B603
科宏生物,黄山科宏生物香料股份有限公司,"""公司是一家集研发、生产、销售生物系列香料于一体的高新技术企业,成立于2003年元月,现坐落于黄山市歙县循环经济园区.""",黄山科宏生物香料股份有限公司,黄山市歙县循环经济园区纬一路,341021000005441,2003-01-28,程存照,7000万元人民币,91341000746763434X
遇上时光,云南遇上时光科技有限公司,云南遇上时光科技有限公司，是一家旅行体验至上的自由行平台，提供全程省心的一体化自由行服务。采用“互联网 金融 旅游”的全新产业模式，打造高品质的旅行产品，解决传统跟团游和自由行存在的问题，精选出涵盖自由行、搭伙自由行、定制自由行等一系列高性价比的旅行产品，以社群为核心，全方位满足自由行产品咨询、销售、分享、互动等需求，让旅行不只有机票加酒店，更重要的是在旅行中碰撞自己的心灵，让整个旅行的过程中有着完美的体验。,云南遇上时光科技有限公司,云南省昆明市高新区海源北路与科技路交汇处（海源北路M2-9-1地块）云南昊邦医药技术研发基地研发大楼1幢11层1102号,530100000547233,2016-06-20,夏滨,1000万元人民币,91530100MA6K6L7HX2,www.56zuyin.com
锦衣卫资产,四川锦衣卫科技有限公司,四川锦衣卫科技有限公司是一家专注于全产业链金融风险管理整体解决的服务商。公司以大数据为基石，深耕汽车金融贷后风险管理与房产抵押贷款全产业链服务。重点打造了互联网汽车金融 “3+1” 创新服务模式，打通了互联网+不良资产处置的全流程通道。自主研发了多项行业领先的大数据金融风险管理及资产处置一站式服务体系。,四川锦衣卫科技有限公司,,510110000036311,2015-12-01,余洋,1000万元人民币,91510100MA61RQE220,www.jew315.com
大东联,山东大东联石油设备有限公司,山东大东联石油设备有限公司是一家石油设备研发制造商。是封隔器、螺杆泵、声测管、配水器等产品专业生产加工的公司，拥有完整、科学的质量管理体系。,山东大东联石油设备有限公司,利津经济开发区,370500228031808,2007-01-24,马爱荣,3500万元人民币,91370500798658820H,www.ddlmanufacture.com
觉厉云,南京觉厉云电子商务有限公司,JoinLiv生殖营养素自主选择与管理平台是一家生殖营养素及相关生殖健康科普服务提供商，产品分为男性生殖、女性生殖以及日常保养等系列。主要面向不孕症人群，通过自主研发的生殖营养素，帮助用户改善精、卵质量，提高自然妊娠率、提高试管婴儿成功率、降低出生缺陷。,南京觉厉云电子商务有限公司,南京市江宁区东山街道绿地之窗商务广场D2-1122室,320102000377001,2017-09-08,俞刚,800万元人民币,91320102MA1QG1KP4C,www.joinliv.com
一米投资,一米投资管理（北京）有限公司,一米投资专注于资产配置的研究，通过自有的基金评价体系对私募基金管理人及产品进行筛选和评估，挑选出优质的基金产品并通过FOF的形式为客户提供财富管理服务。,一米投资管理（北京）有限公司,北京市朝阳区芍药居北里101号1幢11层1座1212,110105019757257,2015-08-25,孙鹤,1000万元人民币,91110105355303772R,www.yimitouzi.com
寻材问料,深圳市寻材问料网络科技有限公司,寻材问料是国内首家材料解决方案一站式服务平台。寻材问料是制造企业从产品设计、采购、工艺、制造等全流程，和材料方案商、供应商、工程师的连接平台。,深圳市寻材问料网络科技有限公司,深圳市南山区粤海街道华润商务中心3号楼2501,440301112060079,2015-01-14,聂雷,1000万元人民币,91440300326405585C,www.materials.cn
全国宗谱续修云平台,湖北家国文化科技有限公司,湖北家国文化科技有限公司是一家根植于家与国传统文化，融身于现代科技，讲究创新与品质的文化科技型企业。2005至2013年，协助60多个姓氏编辑宗谱，完成家谱有黄姓(8万丁)、曹姓(6万丁)、袁、舒、余、谢等二百多个姓氏，上百万人口的宗谱续修工程。业务遍及湖北，湖南，江西、安徽、河南等华中地区。其间并完成“宗谱数字化特符”字库的开发，宗谱网三次全面升级改版（第四次正在开发之中，由行业宣传门户向行业应用改变）。姓氏321网站平台建设，云码宗谱排版管理系统三次开发。,湖北家国文化科技有限公司,,420112000244567,2014-11-05,曹咏,209万元人民币,91420112303532493Q,x4321.com
港口物流,唐山市港口物流有限公司,港口物流是一家专业的港口物流服务提供公司，是一家集陆路运输、金融服务、代理、加工、信息服务、进出口保税于一体的物流企业。,唐山市港口物流有限公司,,130294000001079,2000-10-30,王泽,5000万元人民币,91130294758928363J
环宇装备,河南环宇石化装备科技股份有限公司,河南环宇石化装备科技股份有限公司是化工装备产品供应商，主营业务为石油化工、煤化工和化工领域使用的变压、变温吸附装置、换热设备等非标压力容器及配套装备的设计、制造与安装。　　公司拥有中华人民共和国特种设备A2级第III类低、中压容器制造许可证；中华人民共和国特种设备D1级第一类压力容器、D2级第二类低、中压容器设计许可证；中华人民共和国特种设备GC2级压力管道安装改造维修许可证。公司通过了北京大陆航星质量认证中心有限公司ISO9001:2008质量管理体系认证。,河南环宇石化装备科技股份有限公司,修武县产业集聚区云翔路中段南侧,410821100001229,2004-07-20,陈志强,5170万元人民币,91410800764877160R
