名字,公司,介绍,公司,地址,身份证,时间,法人,注册金额,编号,网址
小拇指,杭州小拇指汽车维修科技股份有限公司,杭州小拇指汽车维修科技股份有限公司，是“小拇指”中国连锁机构的总部，是中国汽车后市场的领导企业，是汽车微修行业的革命者，是中国特许经营连锁百强企业，是汽车后市场中百强的唯一代表，是连续3年蝉联?“中国服务业优秀特许加盟品牌”的企业，是一家极富文化性和创新性的国际化民族企业。,杭州小拇指汽车维修科技股份有限公司,杭州市江干区凤起东路358号五福天星龙大厦B座2009室,330100000064408,2004-10-22,兰建军,2095.0123万元人民币,91330100768204123R,www.c9090.com
雷科技,广州市微宝信息科技有限公司,雷科技是专注于发现硬件价值的新媒体，雷锋网战略合作伙伴，虎嗅网内容合作伙伴。隶属于广州市微宝信息科技有限公司。,广州市微宝信息科技有限公司,广州市天河区元岗路310号自编4栋401单元（仅限办公用途）,440106000847361,2013-11-05,罗超,18.75万元人民币,91440106082714567N,www.nanguashuo.com
票e贷,武汉顺势科技有限责任公司,票e贷是一家不涉及资产购买和转手，纯提供票据行情、询价的信息撮合平台，以轻型模式保障交易双方权益，补充和完善市场。通过开放的电子化平台，为票据持有方、金融机构和居民提供实名化、凭证化、可追溯的票据场外信息。,武汉顺势科技有限责任公司,,420100000548968,2015-09-28,郭江舟,100万元人民币,91420100MA4KL3WL0W,www.ss-trend.com
锐拓思创,北京锐拓思创网络科技有限公司,锐拓思创是一家网络技术研发商。,北京锐拓思创网络科技有限公司,北京市海淀区中关村南大街17号3号楼703,110108012888138,2010-05-24,肖杰思,10万元人民币,91110108554807236B
国鼎黄金,国鼎黄金有限公司,国鼎黄金有限公司是国内从事贵金属投资品和收藏品行业最具实力和资源优势的企业之一。公司注册资金1.08亿，总部位于杭州，是上海黄金交易所综合类会员、中国金币特许零售商、中国黄金协会常务理事单位、中国黄金集团指定经销商、上海造币有限公司特许经销商、浙江省工商业联合会直属商会理事单位、2011年、2012年连续两年被评为“浙江省优秀金融企业”，是浙江省金融投资创新企业培育基地。　　,国鼎黄金有限公司,杭州市江干区五星路198号瑞晶国际商务中心25层,330100000092895,2009-07-07,阮孟国,10800万元人民币,91330100691706052Y,www.guodinggold.com
共道科技,共道网络科技有限公司,共道科技是一家司法服务开放平台开发商。目前通过应用区块链、大数据、知识图谱、云计算、机器智能等先进技术为法院提供专业的网上法院解决方案，并在交易纠纷、知识产权纠纷、金融纠纷、物业纠纷等领域智能要素化审判积累了丰富的实践经验，帮助传统法院信息化建设转型升级，帮助法官、书记员减轻工作强度，提高工作效率，帮助当事人降低诉讼成本。,共道网络科技有限公司,浙江省杭州市余杭区五常街道文一西路998号18幢111-1室,330184000725544,2018-01-17,刘祥剑,15000万元人民币,91330110MA2B0CKX05,www.gongdao.com
河婆,福建河婆科技有限公司,"""福建河婆智能科技有限公司成立于2015年8月，是福州可可因信息技术有限公司投资成立。利用物联网传感技术可以实现车位占用空闲实时监测 , 实时监测车位状态 , 实时对比收费行为是否合规 , 提供实时空位信息服务 , 杜绝收费员乱收费 ,杜绝人为逃单漏单 ,支持多支付手段，让用户真正体会到互联网+的便捷。""",福建河婆科技有限公司,福建省福州市台江区后洲街道玉环路10号中亭街改造利生苑1#楼5层08室内-6,350100100482258,2015-09-21,魏娟,5000万元人民币,91350100M0001P4426,www.hepo.com
威尔森科技,广州威尔森信息科技有限公司,威尔森是一家汽车市场数据公司，通过智能数据库对海量数据进行互联互通、整合管理，并基于丰富的IT与互联网应用技术，挖掘汽车行业大数据之价值，实现数据的智慧洞察，为车企及相关企业提供全面的汽车市场数据、精准的营销洞察服务以及高效的量化决策应用工具，助力中国汽车行业建立以“数据”为基础的量化决策体系。,广州威尔森信息科技有限公司,广州市天河区珠江东路12号1201房之全层(仅限办公用途),,2013-10-11,梁维新,1086.95万元人民币,9144010408036273XP,www.way-s.cn
亿晟集团,亿晟天合（天津）投资咨询有限公司,亿晟集团始创于2009年，经过6年的奋斗，已发展成为一家具有多家子公司、跨区域经营、业务品种齐全、颇具影响力的综合性咨询服务集团。,亿晟天合（天津）投资咨询有限公司,天津市和平区南京路129号世贸广场B座8层02,120101000057863,2009-07-31,梁勇,2000万元人民币,91120101690686379R,www.tjysjt.cn
窦漪房,上海漪枋信息科技有限公司,上海漪枋信息科技有限公司是一家经营房屋租赁的运营商，旗下窦漪房app是一款在房主和租客间进行智能搜索匹配、让用户自主选择并提供平台的app，对接城内物流运输，提供搬家服务。,上海漪枋信息科技有限公司,上海市浦东新区三林路235号9幢662室,310115002817636,2015-09-14,陈文远,100万元人民币
森活木趣,森活木趣文创（深圳）贸易有限公司,森活木趣是一个台湾文创产品连锁品牌，产品以田园生活主题为设计元素，主要品包括手工贴纸、音乐铃、纸胶带、主题音乐播放器等，同时为用户提供DIY、定制礼品等相关服务。,森活木趣文创（深圳）贸易有限公司,,440301116989761,2016-07-29,赖铭德,100万人民币,91440300MA5DHEB5X8,www.wooderfullife.com
胜霏尔,广东胜霏尔环境科技有限公司,胜霏尔是一家智慧城市建设及管理系统研发商，主要从事道路交通环境监测、设备研发及生产、智慧城市管理系统等服务，同时公司还自出研发出了监测系统集成、机动车减排等产品。,广东胜霏尔环境科技有限公司,,440500400011570,2010-12-06,何伟强,1777.7778万元人民币,91440500564594940D,etc-cn.com
上海硕恩,上海硕恩网络科技股份有限公司,上海硕恩是一家从事大数据分析与处理的互联网公司，主要从事信息、网络、计算机领域内的开发、技术转让、技术咨询、技术服务，商务信息咨询（除经纪），计算机软件销售。,上海硕恩网络科技股份有限公司,上海市徐汇区虹桥路333号1幢210室,310104000431916,2009-04-01,李彩云,1349万元人民币,913101046855371337
