名字,公司,介绍,公司,地址,身份证,时间,法人,注册金额,编号,网址
铁大大,宁波西铁供应链管理有限公司,铁大大是一家中欧铁路物流服务提供商，提供以国际铁路为主、空运为辅的供应链物流服务，在线上整合了国内现有的中欧班列口岸信息，致力于打造中欧班列咨询平台以及打造全新的互联网分销模式。,宁波西铁供应链管理有限公司,宁波鄞州区百丈路158号（9-17）,330214000048633,2014-03-12,邵一峰,500万元人民币,913302040933533733,www.tiedada.com
畅映文化,长沙市畅映文化传播有限公司,畅映文化旗下红星迪达艺术培训学校是一所专业培养综合类现代艺术人才的正规培训学校。致力于培养德艺双馨的艺术人才；为热爱艺术、渴望进入艺术殿堂的学员开辟设计了，以教学→考级→比赛→演出→考学为主线的系统培养模式，为孩子们提供广阔的演出、大赛、深造平台。,长沙市畅映文化传播有限公司,,430111000344649,2015-09-07,李鸿桢,20万元人民币,91430111355525404W
土巴兔装修网,深圳市彬讯科技有限公司,土巴兔是一个一站式装修服务平台，有装修保及设计本两大系列产品，平台主要为用户提供免费验房、免费设计与报价、免费监理、建材特卖、装修资金监管、装修贷款、保险等服务。产品服务：（1）装修保，是土巴兔装修网为保障业主和装修公司双方共同利益而推出的一项“装修款项托管”和“第三方工程监理”的完全免费保障性服务，为业主装修款及工程质量进行双重保障，同时解决装修公司尾款难收的问题。（2）设计本，是土巴兔旗下成立的一个平台，用户主要是一些个性化业主以及设计师、设计公司，主要打造的是:一个业主、设计师、设计公司和商家的交易平台。,深圳市彬讯科技有限公司,深圳市南山区高新区中区科研路9号比克科技大厦10楼1001-A,440301103504817,2008-07-18,王国彬,222.2222万元人民币,91440300676666021L,www.to8to.com
特神网络,上海特神文化传播有限公司,蒸汽世界是一个专注于原创IP概设计、道具及场景制作、文化传播、销售推广的平台，业务范围覆盖以围绕IP，打造主题包含公园、电影、游戏、动画、绘本、商业主题活动推广销售等领域。,上海特神文化传播有限公司,上海市长宁区金钟路968号11号楼302室,310112001452984,2014-12-15,徐娴,104.1667万元人民币,91310105324634376N,www.steamworld.com.cn
小绿谷信息科技,新疆小绿谷信息科技有限公司,123微导航由新疆小绿谷信息科技有限公司研发运营，于2015年6月创建于新疆乌鲁木齐，123微导航作为“活动推荐引擎”，为企业APP / 自媒体平台等用户推荐有价值、需求匹配的活动资源，提供连接粉丝与活动的新型服务，活跃平台粉丝，降低平台运营成本，是国内移动互联网领域高速成长的产品服务之一。2015年12月发布3.0迭代版本。3.0活动推荐引擎更智慧，截至2016年1月，123微导航覆盖上百座城市，粉丝覆盖用户数达2500万 ，平台数量1200 。,新疆小绿谷信息科技有限公司,新疆乌鲁木齐经济技术开发区喀什西路752号西部绿谷大厦二层办公区,650000058049147,2015-09-06,王义民,500万元人民币,91650100MA7754CJ63,www.123vdh.com
彦泽科技,深圳彦泽科技有限公司,彦泽科技是综合位置服务解决方案提供商，致力于提供创新技术与产品解决方案，让用户享有物联网中的社交、电子商务、移动办公等全方位的位置服务。GPS定位电子校牌功能：电子签到，家校互动功能，到离校短信通知学生家长。隶属于深圳彦泽科技有限公司。,深圳彦泽科技有限公司,深圳市南山区西丽街道高新区北区新西路7号兰光科技大楼7楼A-711,440301108417674,2013-11-29,胡抗震,100万元人民币,9144030008460541XW,www.51cq.cc
深感科技,北京深感科技有限公司,北京深感科技有限公司成立于2015年，专注于人脸识别算法。深感科技的人脸识别算法，采用了ResNet结构，融合了多种loss进行网络调优，算法模型展现出非常强的表征能力和泛化能力。,北京深感科技有限公司,北京市海淀区知春路1号1202室,110108020094468,2015-10-29,苏晓生,228.5714万元人民币,91110108MA001HJG0K,www.deepsense.cn
卓尔钛乙,成都卓尔钛乙科技有限公司,成都卓尔钛乙科技有限公司是一家从事智能白酒终端售卖机为核心业务、为酒类企业提供O2O营销服务平台的高端制造企业。 公司以创新的商业模式，帮助酒企实现酒类智能售卖终端直供餐饮企业、白酒价格合理化，致力于打造白酒销售渠道品牌和渠道平台，改变中国白酒消费方式和销售方式。,成都卓尔钛乙科技有限公司,成都高新区天晖路360号14层9号,510109000693935,2015-12-14,周文耀,500万元人民币,91510100MA61RX6P92,www.etiyi.com.cn
快乐星球体育,广西众星教育咨询有限公司,快乐星球儿童体育主要是围绕着3~14岁的孩子做校园、家庭、户外运动的教育理念，来弥补孩子体育运动的不足。快乐星球体育以幼儿体育为切入点，以幼儿园为精准流量入口通过家庭小区周边体育运动范围和户外体育不同的场景来解决儿童体育运动所需，打造儿童体育教育+互联网平台。,广西众星教育咨询有限公司,,450108000100496,2013-01-29,韦元亮,200万元人民币,914501080617280701
友鱼科技,深圳市友鱼信息科技有限公司,致力于整合并发展移动互联网时代的富媒体泛娱乐产业。目前，众妙投资并运营了深圳话社、深圳美人互娱，深圳友鱼信息科技，成都颜色因子四家子公司。涉及三大业务板块：以艺人经纪，艺人养成，网络综艺为代表的互动娱乐业务，以粉丝社区，网红社群，网络游戏，新媒体，垂直社交为代表的移动互联网业务，以影视广告，直播电商，商业直播，品牌推广，流量广告为代表增值服务业务。集团旗下的2万多网红主播，触达粉丝量达到9000+万人，目前正在进军韩国，东南亚市场。,深圳市友鱼信息科技有限公司,深圳市福田区莲花街道益田路西福中路北新世界商务中心2809,440301118043555,2016-11-17,刘伟,200万元人民币,91440300MA5DPA3275,www.youyuzone.com
