名字,公司,介绍,公司,地址,身份证,时间,法人,注册金额,编号,网址
八爪鱼大数据,深圳视界信息技术有限公司,八爪鱼大数据采集平台整合了网页数据采集、移动互联网数据及API接口服务，提供包括数据挖掘、数据优化、数据存储、数据备份等服务，可采集数据不受行业限制，用户涵盖政府、企业、高校、银行等在内的各领域，同时在香港、美国等地也有长期合作的海外客户。,深圳视界信息技术有限公司,深圳市南山区粤海街道深南大道9966号威盛科技大厦318,440301106792765,2012-12-28,刘宝强,137.0995万元人民币,914403000602690440,www.bazhuayu.com
中农数据,深圳市中农数据有限公司,我国领先的专业大数据企业，依托实体批发市场资源优势，公司拥有全国20多个主要城市30多家批发市场组成的信息采价体系，累积3000多万条的价格数据和200多万条的检测数据；公司编制和发布了一系列“农产品批发价格指数”，其权威性和准确度均得到政府和其他各界人士的认可。,深圳市中农数据有限公司,深圳市前海深港合作区前湾一路鲤鱼门街一号前海深港合作区管理局综合办公楼A栋201室（入驻深圳市前海商务秘书有限公司）,440301108049252,2013-09-30,李华,1000万元人民币,914403000801331872,www.chinaap.com
波信,中山市波信太阳能科技有限公司,波信太阳能科技有限公司公司成立于2006年，是由香港安诚发展有限公司在国内投资的外资企业，专业从事研发、生产和销售太阳能电池组件及其光伏应用产品，是国内最早从事太阳能组件和应用产品的高科技公司之一。公司位于孙中山先生故乡——广东省中山市沙溪镇，地理位置优越、交通便利；公司拥有强大的专业研发、生产和销售团队，是广东省政府重点扶持的高新技术企业。,中山市波信太阳能科技有限公司,中山市火炬开发区珊洲村“玻璃围”（即沿江东四路32号）第三层,442000400000257,2006-06-08,李浩波,1376.5053万元人民币,914420007894366289,www.zsboxin.cn
沈德医疗器械,上海沈德医疗器械科技有限公司,沈德医疗器械是一家无创医疗设备研发商，采用新一代核磁共振引导的相控聚焦超声技术，为用户提供新型非侵入式乳腺腺瘤超声诊治一体化系统、新型非侵入式骨肿瘤晚期疼痛缓解超声治疗仪等产品，应用于治疗帕金森和脑肿瘤等疾病。,上海沈德医疗器械科技有限公司,上海市嘉定区封周路655号14幢201室J2855，嘉定区嘉新公路835弄25号6幢2177室,310114002538558,2013-05-14,张文汾,1012.4873万元人民币,913101140678401273
新农宝,深圳超群高科技有限公司,新农宝致力于为涉农产业链的企业提供一体化营销云服务解决方案（ERP+、CRM+、BI等），向企业提供县域+互联网、农企+互联网、门店+互联网等多种解决方案和孵化体系。公司基于移动云计算、大数据、人工智能等互联网技术，向涉农企业提供农事服务、销售、渠道运营、营销与推广、企业数据资产的全面互联网化SaaS服务。产品包含订单、会员、员工、商品、资金、库存和物流等数据管理，及渠道运营、智能报表、专家问询等功能。用户从开单、管理订单、订单审批收款打印等流程起即可进行全流程信息化管理，同时跟踪供应商客户信息，并附加会员,深圳超群高科技有限公司,深圳市龙华新区观澜街道观光路1301号银星科技园银星科技大厦A栋606室,440301108157995,2013-10-21,金明德,999.4005万元人民币,91440300081287823K,www.51xnb.com
飞奥航空,西安飞奥航空科技有限公司,无人机发动机及整机的研发制造企业。飞奥航空现有产品20余种，销往中国以及世界各地，下一个研发的产品是9缸星型四冲程发动机，目前仅有德国一家企业能够生产。现已自主研发设计生产出多款民用、军用无人机配套发动机，并已着手研发大载荷无人机整机解决方案，致力于生产出稳定可靠的国产小型发动机及配套油动无人机。,西安飞奥航空科技有限公司,,610100100073985,2008-05-21,王少帅,50万元人民币,91610117673270929B,feiaomodel.aircraftnurse.com
聚师网,北京聚师网教育科技有限公司,北京聚师网教育科技有限公司是一家全国经营的教师资格证培训企业。总部设立于北京，一直致力于以一流的专业师资团队，坚持以人为本可持续发展的素质教育思想，是国内大型个性化教师资格证辅导行业的支柱性企业之一。,北京聚师网教育科技有限公司,北京市丰台区南四环西路186号四区8号楼9层20室,,2018-02-01,李祥龙,200万元人民币,91110106MA01A7RJ9C,www.jushiwangedu.cn
杭州预言家,杭州预言家科技有限公司,杭州预言家科技有限公司是一家陌生人社交app，杭州预言家团队拥有近200人的专业团队，涵盖产品架构、技术开发、数据运营等团队。他们用丰富的产品经验和用户行为体验，把不断提高用户体验作为终极目标，让用户在手机互动中获取更多的乐趣和价值！预言家旗下，有用户群体庞大的陌生视频设计软件；在预言家的世界里，很多陌生而有趣的人曾经、正在或即将相遇预言家一直致力于“让聊天更有价值”，帮助人们发现身边更多的美好；有人在这里收获了更好的自己，也有人遇到了更好的人,杭州预言家科技有限公司,浙江省杭州市滨江区南环路4025号3楼342室,,2018-11-20,支文君,100万元人民币,91330108MA2CFL30XT,vaticinatortech.com
送粮啦,中米(北京)农业科技股份有限公司,"""送粮啦是一个米面油O2O平台，用户在手机端上就可以选择自己喜欢吃的大米，白面，和经常用的食用油,平台服务送粮上门。""",中米(北京)农业科技股份有限公司,,110101021158889,2016-05-03,关海涛,675.6757万元人民币,91110101MA0059471X,www.songliangla.com
欢雀,深圳市前海欢雀科技有限公司,欢雀是一个在线人力资源管理云平台，基于互联网和移动互联网为企业及个人提供人力资源管理、薪酬管理、弹性福利管理等务。,深圳市前海欢雀科技有限公司,深圳市前海深港合作区前湾一路1号A栋201室（入驻深圳市前海商务秘书有限公司），深圳市前海深港合作区前湾一路1号A栋201室（入驻深圳市前海商务秘书有限公司）经营场所：深圳市南山区沙河西路深圳湾科技生态园二区9栋B座814b、812单元,440301113247030,2015-06-30,陈少燕,1437.648万元人民币,914403003428095209,www.que360.com
蚂蚁商用车,杭州卡意购信息科技有限公司,覆盖全国的商用二手车商全方位服务平台，致力于为商用二手车商提供优秀的软件及数据类服务、交易类服务及金融类服务，充分赋能二手车商。,杭州卡意购信息科技有限公司,浙江省杭州市余杭区仓前街道海创科技中心4幢1109室,330184000714050,2017-12-20,邵锋,111.1111万元人民币,91330110MA2AYWN41Q,www.careagle.com
昱盛达,昱盛达(天津)科技有限公司,昱盛达（天津）科技有限公司，2014年04月25日成立，经营范围包括技术推广服务，机电设备维修;批发和零售业。,昱盛达(天津)科技有限公司,天津市河东区中山门新村7段10-2-501,120102000146959,2014-04-25,张德鑫,5万人民币,9112010230038283X5
三木水产,青岛三木水产股份有限公司,青岛三木水产股份有限公司主要经营水产品加工及速冻产品。,青岛三木水产股份有限公司,青岛市城阳区青大工业园.,370214228021207,2002-08-14,韩岩,2500万元人民币,91370214740375393M,www.sanmuseafood.com
股票云盯盘,上海秦牛网络科技有限公司,股票云盯盘为股民提供条件盯盘、行情预警提醒、全盘选股等炒股服务。用户可定制股票的盯盘条件，满足条件时，无需打开APP，就能收到带铃声的提醒消息。,上海秦牛网络科技有限公司,上海市金山区朱泾镇人民路121号1幢2006室,310116003308669,2015-06-25,许盛强,20万元人民币,91310116342093868M
智杰智能家居,南充市智杰智能家居有限公司,南充市智杰智能家居有限公司是海尔U-HOME智能家居南充星级经销商，致力于为客户提供全面的智能工程解决方案：智慧家庭、智能酒店、智慧社区，包含：智能照明窗帘、智能安防、无线监控、第三方暖通智能控制、背景音乐、家庭影院、智能停车系统、智能可视对讲、智能家电控制、智能燃气报警、智能指纹门锁等等，竭力为个人家庭住宅、别墅豪宅、会所酒店、楼盘开发商、商场展厅、办公室等场景提供专业全面的智能化工程定制解决方案。为客户带来便捷、舒适、节能、安全、高效的服务体验。公司致力于在智能家居领域的技术研发，工程设计和施工，拥有多名电子科大、华中科技大学的技术人员，还拥有具有十多年弱电施工工程经验的施工团队。公司团队已在南充以及川内范围内完成数量众多的智能化工程，拥有成熟的设计施工能力，做到设计、施工、售后一条龙的完整服务体验。,南充市智杰智能家居有限公司,四川省南充市高坪区永丰路二段48号友豪国际19栋1层105号,511303000184542,2017-08-10,李治全,50万人民币,91511303MA64GX5T8G,nczhijie.com
瑞普股份,河北瑞普通信技术股份有限公司,河北瑞普通信技术股份有限公司的主营业务是为政府、学校、医院及企事业单提供整套的信息化解决方案，业务包括系统集成、软件开发、设备销售及后期系统维护等。公司的主要产品有系统集成服务、设备销售、技术开发与服务。公司曾在2008年获得由河北省信息产业与信息化协会授予的“河北省信息产业与信息化诚信企业”称号；2010年河北省科学技术厅、河北省财政厅、河北省人力资源和社会保障厅授予的“河北省科技型中小企业技术创新资金工作优秀企业”称号。,河北瑞普通信技术股份有限公司,河北省邢台经济开发区中兴东大街1889号河北工业大学科技园（邢台）园区5号楼107房间,130500000002822,1999-03-01,张树甫,3257.8万元人民币,91130501713144450D
扭蛋,上海似颜绘科技有限公司,扭蛋app是一款主打二次元的兴趣社交应用，主要利用二次元专属的匹配算法，为用户快速高效的进行匹配，找到真正适合的人、聊的来的人。,上海似颜绘科技有限公司,,310110000638262,2013-07-23,丁焱,85.7875万元人民币,91310000074765700F
觉醒软件,沈阳觉醒软件有限公司,觉醒软件成立于2013年，是专注于应用系统业务数据审计、交易分析和大数据分析技术研究、产品开发、生产、销售、服务于一体的高科技创新企业。,沈阳觉醒软件有限公司,沈阳市和平区五里河街51号（1111）,210112000044967,2013-06-05,邵永刚,1000万元人民币,912101020647451673,www.juethink.com
胜高股份,胜高连锁酒店管理股份有限公司,"""公司成立于2007年,2012年获得国家商标局批准“胜高”商标。法定代表人盛宏军。公司注册地址位于广东省深圳市罗湖区。目前公司主要从事精品连锁酒店的开发、管理和运营,公司在广东、湖南、河北、北京等多个省市拥有筹备和在营分店十余家,致力于为广大客人提供“时尚、精致、温馨”的客房和高性价比的服务,经过数年的发展,通过精准的分店所在地理位置分析和分店周边目标客户群定位,具体问题具体分析,合理确定每个分店的准确定位,并逐步形成由胜高连锁酒店、胜高精品酒店、胜高国际酒店等一系列针对由低到高不同客户群的酒店产品系列,稳""",胜高连锁酒店管理股份有限公司,深圳市罗湖区翠竹路2058号旭飞华达园裙楼三楼309-3F，河南省信阳市光山县牌坊路与紫水大街交汇处西北座,,2007-02-02,盛宏军,13049.8664万元人民币,914403007979701429,www.shenggaohotel.com
