名字,公司,介绍,公司,地址,身份证,时间,法人,注册金额,编号,网址
店驰,上海来店信息技术有限公司,店驰是一家门店选址管理系统提供商，为连锁零售企业提供基于大数据与人工智能的SaaS服务。主要产品店驰是基于地图开发的一个门店选址管理系统。产品可以为零售企业提供开店拓店的智能选址服务，通过地图大数据帮助用户分析哪些地段适合开店，且通过客流量分析，为用户的店铺提供店铺评估报告。,上海来店信息技术有限公司,上海市松江区石湖荡镇塔汇路609号,310117003358140,2016-02-02,邱浩,100万元人民币,91310117MA1J14TH6R,www.laidian360.com
安赛股份,杭州安赛生物科技有限公司,"""浙江安赛生物科技股份有限公司的主要业务是主要从事食用香精的研发、生产和销售,及食品配料配套销售,为客户提供以香精为核心的食品整体解决方案。公司主要产品有食用香精、食品配料。公司具有高新技术企业证书、食品生产许可证、杭州市污染物排放许可证等资质证书。""",杭州安赛生物科技有限公司,萧山区经济技术开发区桥南区块春潮路18号,330181000018796,2005-12-21,王颖,12000万元人民币,913301097823737594,www.artsci.cn
Today便利店,武汉今天梦想商贸有限公司,Today便利店是一个连锁便利店品牌，将线下便利店用户导入线上APP，完成会员系统搭建，通过APP增加会员粘性、实现数据的收集和整理，与小麦公社、达达物流等企业达成深度合作，完成门店和APP终端的订单配送，快速实现商品流通，并实现生活类产品、服务的线下导流。,武汉今天梦想商贸有限公司,武汉市硚口区中山大道1号越秀财富中心写字楼第21层01、02、03、07、08单元，江岸区三阳路与解放大道交汇处融科天城三期15、16、17栋裙楼栋\单元1层商20室,420102000374805,2014-06-24,胡敬峰,1000万元人民币,914201003034350019,today36524.com
开心妈,重庆开心妈百储网络科技有限公司,我们的产品与优势:,重庆开心妈百储网络科技有限公司,重庆市北部新区青枫北路30号（拓展区A5栋凤凰座C座第5层）,500905008092486,2015-06-24,黄更新,100万元人民币,,kaixinma.com
聚源速购,兰州聚源现代物流有限责任公司,聚源速购是一个购物同城配送助手，可以随时随地享受购物带来的乐趣，所有商品配送到家。,兰州聚源现代物流有限责任公司,,620103200103632,2014-11-17,陶永,100万元人民币,9162010331607847XM
巨匠装饰,郑州巨匠装饰工程有限公司,郑州巨匠装饰工程有限公司是一家集设计、预算、施工、材料于一体的专业化装饰公司。公司从事装饰、装修行业多年，有着创新的设计，合理的报价，还有一批独立的专业化施工队伍，确保施工绿色环保，安全文明。 公司本着“崇尚自由，追求完美”的设计理念，凭借超前的设计构思，合理的预算报价、精良的施工工艺，优质的全程服务，真诚的为每一位客户，量身定制全新、优雅、舒适的居家生活、文化空间。 公司自成立以来，全体员工一直秉承“以质量求生存，以信义求发展”的经营理念，始终坚持以客户的要求和满意为核心，以“诚信”为宗旨，不断的用优质、,郑州巨匠装饰工程有限公司,郑州市中牟县学苑路逸品春天1号楼4号商铺,410122000026362,2014-03-06,雷刚,100万元人民币,91410122096471009Y
上海机电,上海机电股份有限公司,上海机电股份有限公司是一家主营业务种类较多，涉及电梯制造、冷冻空调设备制造、印刷包装机械制造、焊接器材制造、人造板机械制造、人造板板材制造和工程机械制造七大领域的公司。公司的主要产品涵盖了包括电梯及自动扶梯、印刷包装机械、液压气动产品、人造纤维板、工程机械等。公司拥有世界销量第二的上海三菱电梯有限公司及其“上海三菱”品牌。,上海机电股份有限公司,中国（上海）自由贸易试验区北张家浜路128号,310000400075814,1994-02-24,陈嘉明,102273.9308万元人民币,91310000607262023Q,www.yinxu99.com
猫存MAOIN,蒙自苏夏商贸有限公司,,蒙自苏夏商贸有限公司,未知,532522100028698,未知,李静,10万元人民币,91532522309650570K
巅峰减肥,上海巅峰体育管理股份有限公司,巅峰减肥是一家健康减肥机构，集全封闭式巅峰减肥训练营、减肥科学研究所、开放式帮瘦健身会馆、营养代餐减脂MESIZE美寸品牌及基于互联网技术的“云瘦身”服务为一体的全方位、立体化的健康减重综合体。,上海巅峰体育管理股份有限公司,上海市杨浦区恒仁路350号1幢212室,310110000362364,2005-05-10,余安奇,1000万元人民币,91310110774780426J,www.021sports.com
比家所,天津比家所科技有限公司,比家所是一家民宿酒店运营商。,天津比家所科技有限公司,,120222000586790,2017-06-14,王昊诚,100万元人民币,91120222MA05RTBE29
