名字,公司,介绍,公司,地址,身份证,时间,法人,注册金额,编号,网址
容么么,北京高比格科技有限公司,容么么是一个私人美容定制服务提供商，主打轻奢美容O2O平台，提供便捷的美容上门服务，隶属于北京高比格科技有限公司,北京高比格科技有限公司,北京市朝阳区劲松南路1号1幢7层1-7内726室134号,110105018276126,2014-12-05,戴利,64.11万元人民币,911101053183779596,www.rongmomochina.com
泰朗实业,泰朗（上海）实业有限公司,"""泰朗 (上海) 实业有限公司成立于2011年。公司致力于中国持续高速发展的工业领域，汽车工业, 塑料工业和快速消费品。我们充分运用多年来积累的市场经验及专业技术，为您提供专业服务。我们能够根据客户的需求，提供世界一流的解决方案，帮助客户的企业在工业转型升级中把握先机、取得成功。 """,泰朗（上海）实业有限公司,上海市松江区洞泾镇振业路161号2幢C座2层,310117002864203,2011-08-29,谢虹,100万元人民币,91310117582087555W,www.taylangtech.com
上海飞秒光电,上海飞秒光电技术有限公司,飞秒光电是一家专业致力于光电、光通信、传感、激光、以及生化物交叉等领域的研发、生产、销售及技术咨询服务的公司，为客户提供相关领域的器件、设备、系统、测试仪表仪器的解决方案。,上海飞秒光电技术有限公司,上海市闵行区元江路5500号第1幢B774室,310112001108450,2011-09-06,刘志辉,1000万元人民币,913101125820905860,www.fsphotonics.com
遛米,上海又米金融信息服务有限公司,遛米是一款有趣的运动型理财APP。在这里，收益率由步数决定，步数越多，收益越高，年化收益率可达12%，随存随取。遛米崇尚健康生活，同时也致力于提供高收益、安全稳健的理财产品和服务。,上海又米金融信息服务有限公司,中国（上海）自由贸易试验区祖冲之路1077号2幢2380室,310141000253613,2015-12-31,赵江,1000万元人民币,91310000MA1K35KK8R,www.i6mi.com
风驰网际科技,黑龙江风驰网际科技有限公司,黑龙江风驰网际科技有限公司成立于2015年8月11日，是一个以软件设计、软件开发、软件服务为主的软件企业。,黑龙江风驰网际科技有限公司,哈尔滨高新技术产业开发区科技创新城创新创业广场哈工大新光飞天产业园LB号楼创新一路1761号201室,230106101045823,2015-08-17,王浩,1000万元人民币,91230199301093685D
华之旅,海南海航华之旅商务管理股份有限公司,"""公司是海航酒店集团成员企业,作为Club Vac悦逸度假俱乐部全球唯一运营商,经授权在全球范围内销售Club Vac度假权益会籍并运营该俱乐部,包括开展营销和销售活动、管理会籍计划、提供会员服务等。    作为海航酒店集团的重点发展项目之一,Club Vac悦逸度假俱乐部是以海航酒店集团旗下16家自有、加盟、未来酒店优质客房资源为核心,以海航集团客机、游艇、邮轮、高尔夫等旅游度假产业为发展外延,建设而成的为中国高端家庭和大中型企业提供酒店住宿、国际度假等全方位休闲度假产品及服务的会员制生活方式俱乐部。会员通""",海南海航华之旅商务管理股份有限公司,江汉区解放大道单洞路口（武汉天安假日酒店壹楼）,420103000125595,2000-03-29,何锡洪,1000万元人民币,91420103717983614E,www.clubvac.com.cn
阳光医疗,合肥阳光医疗科技股份有限公司,"""公司作为医学实验室综合服务商,主要通过自有综合服务体系向各类医学实验室(主要为医院的检验科)提供体外诊断产品及专业技术支持的综合服务。公司向各类医学实验室提供体外诊断产品(仪器设备、试剂、耗材等),还向客户提供产品选择方案、技术应用培训、流程操作规范、仓储物流配送、设备软件升级和维修保养、流程规范、医学实验室建设布局优化等全方位、深度的综合技术服务。经过多年的积累,公司在安徽省地区已经建立了较为完善的服务网络,公司终端客户主要为安徽省地区的二级及以上医院、大型民营医院,客户数量超过100家,其中重点客户主要""",合肥阳光医疗科技股份有限公司,安徽省合肥市高新区华亿产业园F楼1层101室,340106000024938,1999-04-27,王邦侃,4650万元人民币,91340100711757819T,www.hefeisun.com.cn
银化,四川银山化工（集团）股份有限公司,银化是一家磷酸一铵、过磷酸钙、碳铵、水泥等农用化工及建材产品供应商。,四川银山化工（集团）股份有限公司,,511000000011188,1997-09-12,邹文彬,11435.02万元人民币,915110002064036659
越知网络,广西越知网络股份有限公司,越知网络是一个建筑行业云平台研发商。致力于打造广西乃至全国建筑行业云工地+商业大生态平台，自主研发的互联网产品——“U建”，是一个以项目全生命周期沟通管理为切入点，沉淀并挖掘具有商业价值的数据，为建筑项目、企业、市场搭建可闭环生态圈的免费SAAS平台。,广西越知网络股份有限公司,南宁市西乡塘区罗文大道33号广西建设职业技术学院相思湖校区实训楼大楼南楼14层,450100000278371,2015-08-24,黄定琨,1500万元人民币,914501003558580221,knowmorechina.net
乐智网络,杭州乐智网络科技有限公司,萌我爱，是一家互联网直播内容和服务的提供商，专注于为直播平台提供优质的主播和网红资源。,杭州乐智网络科技有限公司,杭州市西湖区三墩镇古墩路995号6幢215-15室,330106000445286,2015-09-24,王余庆,151.8977万元人民币,91330106352441301D
懂你教育,深圳懂你教育科技有限公司,懂你教育是一家专注于K12教育的互联网教育公司，基于大数据分析技术，让老师教学和学生学习更有智慧。,深圳懂你教育科技有限公司,深圳市宝安区西乡街道臣田社区臣田工业区22栋204,440301113064239,2015-06-08,曹益强,858万元人民币,91440300342724586T,www.dongni100.com
启慧教育,广东启慧教育投资股份有限公司,启慧教育的主营业务为对学前教育、学历教育、职业培训等民办教育实体进行投资、管理以及提供相应的服务。公司目前是中山市诺安职业培训学校、中山市启航技工学校的出资人，公司通过向办学实体进行管理输出、员工输出、资产管理服务、教学规划设计等服务，打造―启慧教育品牌，促进民办教育事业的发展。,广东启慧教育投资股份有限公司,中山市南区银潭一路9号,442000000177192,2008-10-06,张秀成,2565.63万元人民币,914420006805760021,www.qihuijiaoyu.com
杰华特微电子,杰华特微电子（杭州）有限公司,杰华特微电子是一家微电子技术外商投资企业，特致力于功率管理芯片的研究，为电力、通信、电动汽车等行业用户提供众多先进、可靠、系统的解决方案与产品服务。,杰华特微电子（杭州）有限公司,浙江省杭州市余杭区仓前街道文一西路1500号1幢424室,330100400046194,2013-03-18,ZHOU XUN WEI,971.5149万美元,91330100060994115M,www.joulwatt.com
途思科技,上海祈语机电工程有限公司,途思科技致力于研发一种新型极限运动单车，电力驱动，超轻超薄，滑雪一般的驾驶感受。产品专注于欧洲市场，满足欧洲青少年对电动单车类产品越来越旺盛的需求。,上海祈语机电工程有限公司,上海市杨浦区隆昌路619号12号楼301室,310110000834856,2016-08-02,朱童顺,200万元人民币,91310110MA1G87HW6K
南朝文化,上海南朝文化传播有限公司,南朝文化主要从事文化艺术交流策划，设计、制作各类广告。,上海南朝文化传播有限公司,上海市奉贤区金钱公路228号2幢439室,310120002379586,2014-06-06,刘帅,500万元人民币,91310120301522304G
博雅云课堂,北京博雅涵泳教育科技有限公司,博雅云课堂成立于2017年，是中小学在线通识教育课程内容的提供商和服务商，致力于通过名著、艺术、人文、科学、数学等通识教育课程，培养6-18岁儿童的学习兴趣与创意写作、综合演讲、审辩思维、创新等学习能力。在整体的课程内容研发中，博雅云课堂还将同步进行数据库建设，届时，将不仅可以提供给学校每个学生的学情报告，还将基于大数据对每个学生进行个性化课程推荐，帮助学生了解自己的兴趣，提升学生的核心素养，培养学生终生学习的兴趣和能力，帮助学校真正把个性化学习、因材施教落到实处。另外，建立通识能力模型也将成为博雅云课堂的发展目标之一，未来，所有课程研发都将围绕通识能力模型展开。,北京博雅涵泳教育科技有限公司,北京市海淀区中关村大街18号B座9层906-A12,110108022771275,2017-01-05,朱红梅,522.87万元人民币,91110108MA00B1BR0Y,www.edu-by.com
翻译狗,杭州轻寻科技有限公司,杭州轻寻科技有限公司是一家人工智能翻译服务商，致力于通过大数据、人工智能、移动互联等技术，为各领域用户提供人工智能翻译服务。公司旗下产品有翻译狗，小图医学。,杭州轻寻科技有限公司,浙江省杭州市余杭区五常街道文一西路998号1幢1104室A,330184000665505,2017-08-23,曾波,1000万元人民币,91330110MA28XCA55H,www.fanyigou.net
币领,杭州未名海投资管理有限公司,币领是中文第一空投社区，专注不定期发布各类有价值数字资产空投信息和相关教程，可结识币友，免费领币，财富增值。,杭州未名海投资管理有限公司,,,2018-07-02,马敏蕾,1000万元人民币,91330110MA2CCWNC9K
蒙泰信息,内蒙古蒙泰互联网科技有限公司,蒙泰信息是一家集互联网技术开发、咨询与经营于一体的新型公司。蒙泰信息以开发质量确定化，开发时间高效化，开发成本控制化，给每一位客户量身定做企业 OA、办公系统、专业的 APP 开发定制服务，并提供 IOS(Iphone、Ipad)、Android(手机端、Pad 端)、 Html5 企业级的开发方案。,内蒙古蒙泰互联网科技有限公司,,150600000048095,2014-11-05,奥凤廷,3000万元人民币,91150602318454328A
