名字,公司,介绍,公司,地址,身份证,时间,法人,注册金额,编号,网址
温和酒业,山东温和酒业有限公司,温和酒业是一家白酒酿造商，专注于白酒及营养保健酒的酿造，产品涉及温河王、拉馋酒、羵羊春、小坛窖、五年原浆等多种系列，同时提供集白酒酿造、品鉴、体验式销售、休闲娱乐、旅游接待于一体的文化体验型项目。,山东温和酒业有限公司,,371325200000243,未知,肖竹青,300万元人民币,91371325669332437W,www.wenhe.com.cn
豪尔新材,厦门市豪尔新材料股份有限公司,"""公司成立于2004年,前身豪尔化工。主要从事触摸屏光电电子,液晶显示器面板,碳纤维行业专用精细化学品的提供者,通过在精细化工领域的多年成功实践,公司凭借自身掌握的核心技术逐步取得了行业的领先地位,公司所生产和销售的产品主要分为光电行业专用材料、碳纤行业专用材料两大类,包括:清洗剂系列、可剥胶系列、蚀刻膏系列、强化液系列、离型剂系列、高能胶系列、聚合膜系列等。""",厦门市豪尔新材料股份有限公司,厦门火炬高新区（翔安）产业区翔虹路29号204单元,350298200000275,2004-05-14,蔡锦云,1150万元人民币,9135020075164873XK,www.hower.com.cn
爱清宝,爱清宝（北京）科技有限公司,,爱清宝（北京）科技有限公司,未知,,2018-03-23,李月,100万元人民币,91110108MA01AYDM8B
阿李股份,东莞阿李自动化股份有限公司,"""东莞阿李自动化股份有限公司专业从事设计制造非标自动化生产设备、半自动、自动化生产线及相应的控制软件、制造执行系统（MES系统）等的专业开发、制造公司,是具备研发、生产、销售自动化生产设备及系统为一体的的国家高新技术企业并可经营进出口业务。主要产品包括软包装锂电池生产设备、圆柱锂电池生产设备、动力及储能电池生产设备。""",东莞阿李自动化股份有限公司,东莞市寮步镇岭厦开发区岭兴街3号,441900000125431,2006-06-27,李新宏,14693.9147万元人民币,91441900789486449U,www.ali-sys.com
梦想加,北京梦想加科技有限公司,"""梦想加是一家联合办公空间提供商，利用空间设计、智能空间管理以及社区运营产品，将常驻办公区和流动办公区、访客区予以区隔，实现依据使用场景而进行的空间重构，优化办公体验并实现办公资源共享服务。专注于科技办公体验的联合办公空间品牌，利用空间设计、智能空间管理以及社区运营产品，通过输出""""OaaS(Office as a service，办公即服务)""""产品体系，打造舒适、高效、开放的企业办公服务体验。梦想加接下来也会沿着服务输出和租赁资产两个方向并行发展。""",北京梦想加科技有限公司,北京市朝阳区朝外大街26号8B-006,110105019174839,2015-05-25,温梦飞,5000万元人民币,91110105344322505G,www.mydreamplus.com
中航新能源,合肥中航新能源科技有限责任公司,中航新能源是一家新能源汽车与零部件制造商，专注于从事纯电动车及零配件的研发与设计，旗下主要产品包括纯电动厢式物流车、单双排纯电动物流车、动力电池、电机、电控系统等。,合肥中航新能源科技有限责任公司,合肥市高新区玉兰大道3号,340191000041268,2014-10-26,蒋伟明,29032.717万元人民币,91340100394492588N
嬉戏谷科技,江苏嬉戏谷科技有限公司,全新的商业管理系统，全面的O2O连接体，为全国4500万家个体商户更新换代具有更便捷、更灵活、更智慧、更亲近的商业系统，具有真切的痛点需求解决和真正的O2O作用，为个体商户展开线上线下一体化的移动互联及营销服务。,江苏嬉戏谷科技有限公司,常州市武进区雪堰镇太北路1号,320400000046801,2013-05-29,杨惠明,2232.4万元人民币,913204120695217441,www.bangke.com
一送,重庆一送科技有限公司,一送是一个电子商务购物平台，主要为用户提供食品生鲜、生活百货、生活周边以及烧烤外送等服务。,重庆一送科技有限公司,重庆市渝北区龙山街道松石支路156号温馨家园D幢14-5,500112008429892,2015-12-22,彭子栋,200万元人民币,91500112MA5U45340N,www.yisonging.com
小旅鱼旅游,沈阳鱼游网络科技有限公司,小旅鱼旅游是一个旅游产品交易服务平台，为旅游批发商及分销商提供集商品展示、分销、直播宣传、数据分析等于一体的营销服务；通过主播直播的方式为旅行者提供了解旅游企业及门店、旅游产品信息、咨询等服务。,沈阳鱼游网络科技有限公司,辽宁省沈阳市沈河区东贸路77甲-15号（2-18-4）,210103000204036,2017-03-31,纪红军,500万元人民币,91210103MA0U08C61M,www.xiaolvyu888.com
X-空间,北京创跃网络科技有限公司,X-空间是一个无人商店运营商。创跃科技是全球领先的移动智能商店制造商，专注未品牌商、电商、零售商提供自动零售线上、线下完整的解决方案。,北京创跃网络科技有限公司,北京市海淀区温泉镇中央档案馆西侧(原温泉镇农业服务中心办公楼)504号，北京市海淀区海淀大街3号1幢A座2层A2F-007,110108021857317,2016-08-18,周金燕,5000万元人民币,91110108MA007MLX9K,xzoone.com
