名字,公司,介绍,公司,地址,身份证,时间,法人,注册金额,编号,网址
格丰科技,格丰科技材料有限公司,格丰科技材料有限公司是由国家特聘“千人计划”专家奉向东博士以“国际领先”的靶向键合功能陶瓷纳米材料（森美思SAMMNS）专利技术而成立的高科技创新型环保企业。主营环境治理新材料和设备，承包包括水处理、土壤修复、大气治理等方面在内的各项环保工程。,格丰科技材料有限公司,,360300510000766,2012-06-07,奉陈旻,9267.44万元人民币,9136030059651065X6,www.gftem.com
几何图像,深圳市几何图像科技有限公司,深圳市几何图像科技有限公司成立于2012年，由深圳市蜗牛窝科技有限公司董事长独立投资，公司主要业务进行模型数据、VR数据内容的处理。现根据公司战略规划，成立了VR行业模型搜索事业部，专注于VR内容平台产品。,深圳市几何图像科技有限公司,深圳市南山区粤海街道高新中三道9号环球数码大厦15楼,440301106425299,2012-07-25,李勤学,160万元人民币,91440300051535865A
村游网络,杭州趣村游文旅集团有限公司,杭州村游网络科技有限公司由村游乡村旅游规划设计研究院、村游APP移动平台组成，是首个“互联网 乡村旅游”内容提供商。,杭州趣村游文旅集团有限公司,杭州市江干区凯旋路208号5楼7506室,330104000292645,2015-07-07,汪崇斌,500万元人民币,913301043418798427,www.cyw.com
艾比森,深圳市艾比森光电股份有限公司,深圳市艾比森光电股份有限公司（股票代码：300389）专注于LED显示屏业务。产品远销美洲、欧洲、澳洲、亚洲、非洲等120多个国家和地区，广泛应用于美国NBA球赛、世俱杯、欧洲杯、总统新闻发布会、高档购物商场、奢侈品牌专卖店、国家电视台等领域。,深圳市艾比森光电股份有限公司,深圳市龙岗区坂田街道雪岗路2018号天安云谷产业园一期3栋A座18、19、20层,440307103064881,2001-08-23,丁彦辉,31965.0445万元人民币,91440300731127582R,www.absen.cn
延长化建,陕西延长石油化建股份有限公司,陕西延长石油化建股份有限公司是一家以工程承包、设备制造、商品流通等为主要业务的上市公司.公司的产品有非标设备制造、技术培训、建筑安装、设备无损检测、小麦等粮食作物种子等。,陕西延长石油化建股份有限公司,陕西省杨凌示范区新桥北路2号,610000100042685,1998-11-30,高建成,91795.2672万元人民币,91610000710097708A,www.ycpcec.com
正丰数控,福建省正丰数控科技有限公司,福建正丰数控科技有限公司是一家数控设备制造商。坐落于福建安溪，是一家集专业研发、生产和销售数控加工中心、多轴数控精密、高速高精等中、高端数控设备厂家，产品主要应用于3C产品、航天航空、汽车模具、医疗器械、五金及工装模具等各个行业领域。,福建省正丰数控科技有限公司,安溪县龙桥工业园A—3地块,350524100081115,2014-07-25,陈志明,10000万元人民币,913505243107130065
趣炒股,华赢科技（北京）有限公司,趣炒股网是一家专业的第三方互联网金融平台，通过“交易账户实时监管+第三方资金托管+大数据风控”的思路来控制平台借贷双方的风险。专注为用户打造一个专业、易用的网上证券金融平台，帮助用户从股市得到更好的资产升值。,华赢科技（北京）有限公司,北京市朝阳区北土城东路4号院1号楼2层011室，北京市朝阳区太阳宫中路12号楼4层402,110105018085355,2014-10-28,黄浩,2000万元人民币,91110105318107983B,www.quchaogu.com
通桥医疗,珠海通桥医疗科技有限公司,通桥医疗成立于2016年，专注于神经血管介入治疗领域，其自主研发产品包括颅内动脉瘤弹簧圈、颅内取栓器、颅内血管载药支架等。公司已提交八项专利申请（其中四项为发明专利），三项已授权，产品研发已取得阶段性成功，并完成动物活体实验，进入临床实验阶段。 为高效推动两家公司的产品发展，归创和通桥完成合并，想要在血管介入领域进行更深的产品开发和市场布局。公司已提交八项专利申请（其中四项为发明专利），三项已授权，产品研发已取得阶段性成功，并完成动物活体实验，进入临床实验阶段,珠海通桥医疗科技有限公司,珠海市香洲区唐家湾镇科技七路1号珠海中电高科技产业园4栋1-B单元,440400400062238,2016-02-26,ZHAO JONATHON ZHONG,650.4546万元人民币,91440400MA4UM7BE5N
盛果信息,盛果信息技术（上海）有限公司,盛果信息是一家计算机硬件及网络技术研发商，主要经营范围是计算机硬件及网络技术的研发，计算机软件的开发、设计、制作、销售，并提供相关的技术咨询和技术服务。,盛果信息技术（上海）有限公司,中国(上海)自由贸易试验区郭守敬路356号3幢107室,310115400263245,2010-09-28,何国俊,133.132万元人民币,91310000561927076A
阿甘生鲜,北京甘先生电子商务有限公司,阿甘生鲜是一家生鲜食品与蔬菜电商平台，主要为用户提供有机蔬菜和全球原产地进口直供海鲜。平台通过自建仓储物流来实现集中配送、自建实验室并定期进行第三方检验来保证食品质量。,北京甘先生电子商务有限公司,北京市朝阳区百子湾东里102号楼1层5单元102,110105019215451,2015-05-29,李逸宁,135.5014万元人民币,91110105344308893G,www.agan365.com
环球石材,环球石材（东莞）股份有限公司,环球石材(东莞)股份有限公司主要从事装饰石材的设计、生产和销售业务。公司自成立以来，主营业务未发生变更，现已具备矿山开采、产品设计、石材加工及石材安装施工的全产业链服务能力。　　公司在2012-2014年“中国房地产开发企业500强首选供应商品牌”（石材类）中的首选率分别为14%、18%和17%，稳居石材行业首位。环球石材（UMGG）先后荣获“中国驰名商标”、“广东省著名商标”、“国家级高新技术企业”等称号。,环球石材（东莞）股份有限公司,东莞市长安镇厦岗村,441900400063075,1994-07-16,朱新胜,35999.761万元人民币,9144190061833079XB,www.umgg.biz
唯美美妆,南京思芙美网络科技有限公司,唯美美妆是一个海外化妆品的电商平台，以香港为基地，为全球顾客提供折扣品牌护肤品、香水及化妆品，提供护理产品的同时，还可以提供个人护理解决方案。,南京思芙美网络科技有限公司,,320123000187583,2017-12-08,刘瑞美,152.7258万元人民币,91320111555511947X,www.vmei.com
优守卫,泉州国光软件开发有限责任公司,泉州国光软件开发有限责任公司，是国内一流的专业无源电子锁研发生产厂家及行业用锁系统解决方案。,泉州国光软件开发有限责任公司,泉州市丰泽区北峰街道拒洪社区博东路101号3栋401室,350503100046655,2008-08-19,傅朝义,4000万元人民币,9135050367847340XC,www.usafeway.com
点线软件,广州市点线软件科技有限公司,点线软件是一家制造行业信息化系统研发商，致力于为用户提供全流程定制家具设计系统、三维建模软件、生产管理系统等，旗下产品有WT企业板。,广州市点线软件科技有限公司,广州高新技术产业开发区科学城科学大道182号创新大厦C2栋第11层1102单元(自主申报),440104000144646,2010-07-26,林丙鑫,60.0024万元人民币,91440116558386731X,www.gzdianxian.com
浙数文化,浙报数字文化集团股份有限公司,浙报传媒是中国报业集团下的的一家上市公司。以投资与经营现代传媒产业为核心业务，负责运营《浙江日报》、《钱江晚报》、《浙江在线》等媒体和边锋网络平台。,浙报数字文化集团股份有限公司,浙江省体育场路178号26-27楼,310000000010005,1992-07-01,张雪南,130192.3953万元人民币,91330000132211766N
华影动漫,武汉华影动漫设计有限责任公司,华影动漫是一个致力于打造以品牌营销为手段的文化创意动漫运营公司，主要有互联网动漫品牌营销、动漫产品研发、文创产品研发、动漫主题商业开发、出版发行、动漫电影开发及销售等业务，目前以制作外包、广告服务、IP转化业务为主。,武汉华影动漫设计有限责任公司,武汉东湖开发区关山大道20号中国光谷创意产业基地二号楼第601－611室,420100000233385,2011-04-11,沈娟,300万元人民币,91420100572024550D,www.whhydm.com
运宝网,北京冏鹿网络科技有限公司,北京冏鹿网络是一家物流O2O服务公司，旗下有鹿鹿管车、鹿鹿司机、鹿鹿调车、易鹿发智能货运移动网、运宝网等产品。,北京冏鹿网络科技有限公司,北京市西城区广义街5号（广益大厦6层B610）,110102013720386,2011-03-29,何剑,10000万元人民币,91110102571212859P,www.58jzx.com
众包客,南京蒽凯网络科技有限公司,南京蒽凯网络科技有限公司10年互联网行业经验，目前拥有互联网大金融领域、互联网大教育领域及互联网细分领域多项产品知识产权！,南京蒽凯网络科技有限公司,南京高新区惠达路6号北斗大厦2楼204室,320191000040841,2015-06-12,陈兴宇,500万元人民币,913201913393798651,www.zbk8.com
中嘻汇,北京仁智信体育文化发展有限公司,中嘻汇是一个街舞培训机构。,北京仁智信体育文化发展有限公司,,110105019328560,2015-06-16,邬明君,5000万元人民币,91110105348274387Y,www.csda.cn.com
磐迅,上海磐迅信息技术有限公司,我们服务于金融、证券、期货行业，从事证券、期货、金融衍生品市场交易类软件开发、研制、销售、和解决方案提供的高科技公司， 公司至始至终励志成为金融、证券、期货行业优秀专业的技术提供商和运营服务合作商。,上海磐迅信息技术有限公司,上海市浦东新区耀华路488号1706室,310115002128422,2013-06-06,钱铮,200万元人民币,91310115071159035A,www.passionsoft.net
幻盈电子,广州市幻盈电子科技有限公司,幻盈电子是一家从事计算机技术开发的公司。主营业务：计算机技术开发、技术服务;计算机零配件批发;办公设备耗材批发;通讯设备及配套设备批发;通用机械设备销售;安全技术防范产品批发;电线、电缆批发;电工器材的批发;防雷设备的销售;监控系统工程安装服务;通信设施安装工程服务;,广州市幻盈电子科技有限公司,,440125000249149,2016-08-24,肖海敏,20万元人民币,91440101MA59EG6E72
时代互动,成都时代互动科技有限公司,成都时代互动科技有限公司成立于2013年，致力于在体感技术、增强现实（AR）、虚拟现实（VR）、机器视觉听觉、机器智能、触摸屏多点、多媒体互动、新媒体，等各类人机交互领，为展览展示、数字新媒体、互动营销、教育、医疗等行业提供更优的解决方案，并在智能硬件、物联网等前沿领域不断拓展。我们利用前沿的技术和硬件平台，致力于解决人们在生活娱乐或商业项目中的各种更高更智能的诉求。,成都时代互动科技有限公司,成都高新区天顺北街39号1层,510109000369968,2013-04-25,龚国栋,30万元人民币,915101000669708513,www.epoching.com
信多帮,信铎邦（北京）网络科技有限公司,信多帮是一个提供信息化解决方案的泛营地行业企业。从营前的报名到营中的管理，再到营后评价，一体化地把泛营地行业公司的线下痛点搬到线上来解决，帮助这些公司提高效率、提升品牌,信铎邦（北京）网络科技有限公司,,110105019695652,2015-08-11,于明,117.6468万元人民币,911101053530041464,www.xinduobang.cn
