名字,公司,介绍,公司,地址,身份证,时间,法人,注册金额,编号,网址
优路科技,重庆优路科技有限公司,重庆优路科技有限公司是一家网络科技公司，以建设移动互联网科技创业加速器为突破，夯实互联网科技发展基础；以增强孵化能力为重点，打造一个全新的平台。重庆优路延伸的公司主要有重庆可兰达科技有限公司、重庆优启科技有限公司、重庆市九吨科技有限公司等互联网创新型公司。,重庆优路科技有限公司,重庆市渝北区洪湖西路24号B幢9-1,500106000080363,2010-08-05,陈正红,100万元人民币,91500000559030446L,www.cq-rili.com
亚辉龙生物科技,深圳市亚辉龙生物科技股份有限公司,深圳市亚辉龙生物科技股份有限公司（亚辉龙集团）旨在立足全球临床需求，研发具有自主知识产权医疗器械产品的国家高新技术企业。主要基于吖啶酯磁微粒化学发光、新型船式酶免、酶联免疫、免疫印迹、胶体金等技术平台，在全球范围内为关系人类健康的多个领域，如自身免疫性疾病、感染性疾病、生殖健康、糖尿病等量身定制所需的仪器设备、配套试剂和服务。,深圳市亚辉龙生物科技股份有限公司,深圳市南山区南山街道兴海路荔山工业区5栋1-4层,440301103627124,2008-09-17,宋永波,10000万元人民币,91440300680376756U,www.szyhlo.com
国瑞信安,江苏国瑞信安科技有限公司,国瑞信安是一家军工企业信息化服务提供商，主营业务为高新技术研制与开发、计算机应用软件及系统集成、信息安全系统集成与服务、涉密系统集成与咨询服务等，致力于为党政机关、军队军工、科研院所、金融证券等用户提供全面的信息化建设解决方案。,江苏国瑞信安科技有限公司,南京市玄武大道699号—22号,320000000055268,2005-08-12,丛磊泉,5200万元人民币,91320000778044397B,www.365sec.com
前海邦加,深圳前海邦加互联网科技有限公司,前海邦加是一个投资融资平台，旗下身边筹专注大众创业项目非公开股权投融资服务，线上打造互联网首创微店式非公开股权投融资工具平台，线下为优质项目提供非公开股权投融资全程服务。,深圳前海邦加互联网科技有限公司,深圳市前海深港合作区前湾一路1号A栋201室（入驻深圳市前海商务秘书有限公司）,440301115117872,2016-02-18,邓斌,500万元人民币,9144030036007488XF,www.choushenbian.com
梨绘文化,深圳梨绘文化传播有限公司,深圳梨绘文化传播有限公司主要产品——新媒体营销业务。依靠着对新媒体的理解，近四年来我们创建了一个深受欢迎的自媒体“丹妈读童书”，拥有近百万粉丝，已成为业内排名前三的母婴自媒体项目。项目成立以来一直致力于阅读推广和亲子育儿分享，为宝妈推荐提升孩子幸福感的一切好书、影、音、物、育儿好文章。基于对粉丝需求的深度了解，我们与多家童书出版商、儿童用具供应商合作，不断为读者提供高质并且低于市场价的好书、好物，因此获得让行内羡慕的阅读率、增粉数和用户粘度。推广童书是创始人做这份事业的初衷，希望儿童阅读能遍布到社会的每一个角落，更希望家庭贫困的孩子也能体会阅读的快乐，所以从2017年11月份开始，丹妈开启了公益之旅——给山区学校孩子们捐赠图书室，前后去过贵州毕节、云南等山区，这个公益项目将一直伴随公司的成长，希望能尽绵薄之力，为山区孩子们建一座可以长见识、开眼界，看见希望和未来的图书馆。,深圳梨绘文化传播有限公司,深圳市宝安区新安街道海旺社区创业路1004号85区宏发领域花园4栋825,440300203520675,2018-01-18,刘国才,100万元人民币,91440300MA5EYKF550
途悠悠,陕西途悠悠供应链管理有限公司,陕西途悠悠供应链管理有限公司是一家供应链互联网机构。,陕西途悠悠供应链管理有限公司,陕西省西安市高新区高新二路15号瑞吉大厦7层10701-7289室,,2018-03-01,李鹏飞,500万元人民币,91610131MA6UQWF42K,www.touscm.com
e摩摩,广州十分网络技术有限公司,e摩摩是一个云控大健康智能按摩椅平台，采用经过专业设计的智能按摩椅，集成物联网，移动支付以及云端大数据处理等技术手段于一体。e摩摩致力于服务20-45岁的正处在作息时间不规律，心里过度紧张，工作压力大，时间碎片化等的亚健康状态的职场人士，为他们提供各种场景按摩服务，包括机场候机，电影院候影等。,广州十分网络技术有限公司,广州市萝岗区科学大道97号704房,440108000068216,2013-01-17,钟永炎,100万元人民币,9144010106111970X2,www.emomo.cc
金朗庭酒店,陕西金朗庭酒店管理有限公司,金朗庭酒店是一家位于西安市具人气和规模的钟楼商业圈的中小型商务酒店，地理位置优越，交通便捷。酒店拥有五十余间风格迥异的客房和闹中取静的庭院，房间提供免费市内电话、宽带上网、数字电视、可调节空调、24小时热水、此外，还提供机票和火车票的代理服务。,陕西金朗庭酒店管理有限公司,,610000100495482,2012-05-08,王磊,300万元人民币,91610000593340798E
东水食品,福建东水食品股份有限公司,"""福州东水食品有限公司,创建于2004年,系中日合资企业,公司拥有13条现代化的按欧美标准建设的水产品精加工生产线,日加工能力达100多吨。经过近十年的努力,已形成内外贸并举的可持续发展的良好势头,逐步成为福建省水产品加工出口的重要生产基地。企业通过了美国HACCP认证和欧盟注册、ISO9001质量管理体系认证、QS认证。因先进的技术,科学的管理,获得了“奥运餐饮供应企业”、“福建省水产产业化龙头企业”、“福建进出口质量诚信企业”、“福建省著名商标”、“省级重点龙头企业”和“渔博会金奖”、“福州市知名商标”、""",福建东水食品股份有限公司,福建省长乐市梅花镇梅新村,350100400006099,2004-05-26,黄揖勇,3000万元人民币,91350182761759134B,www.fztosui.com
吉林省金港,吉林省金港计算机网络有限公司,吉林省金港计算机网络有限公司成立于2001年，是经长春市科技局认定的高新科技企业，是经吉林省信息产业厅认证的双软企业，是国家级软件园区——长春软件园内的重点软件企业。公司本着服务社会、增值客户的企业使命，长期立足于医疗卫生领域，运用先进的设计理念和技术，先后研发了《创世医院信息管理系统》、《同泽医疗设备漏费管理控制系统》、《同泽出生医学证明管理系统》、《同泽妇幼保健网络支撑平台》多项产品。公司始终专注于为客户提供全球最先进、最安全、最便捷的软件产品、技术、方法和服务，帮助客户把握网络时代的经济命脉，不断提升,吉林省金港计算机网络有限公司,吉林省长春市高新区硅谷大街3333号长春科技大市场三层3014室,220000000006014,2001-04-24,钟国峰,500万元人民币,91220101726759403F,www.jlgoldenbay.com
