名字,公司,介绍,公司,地址,身份证,时间,法人,注册金额,编号,网址
起向教育,起向教育科技（上海）有限公司,起向教育科技是中国第一家职业实现平台，帮助20 的年轻人实现自己的职业理想。项目第一期从 College to Career 的职业起步开始，积极支持数字中国的国家战略，为大学生和职场新人提供数字化人才的职业指导、就业机会和技能培训。起向作为一家拥有领先技术的高科技创业公司，以先进的大数据和互联网手段为大学生和职场新人提供规模化专业服务。,起向教育科技（上海）有限公司,上海市杨浦区周家嘴路3255号9楼（集中登记地）,310110000947807,2017-12-08,孔宇,108.7万元人民币,91310110MA1G8L1M0W,www.duilujob.net
快鱼云,北京快鱼云计算有限公司,快鱼云是一个网络智能售货机+互联网+云平台。北京快鱼云计算有限公司是由北京快鱼科技有限公司为主发起人，集合几方资源，共同投资新成立的一家专注于个人消费领域业务创新，新价值生链探索与消费市场拓展的创业型科技公司。公司依托互联网与云计算为支撑，以开发智能储物系统为业务发展方向，努力开创属于快鱼云的美好未来。,北京快鱼云计算有限公司,北京市海淀区高里掌路1号院2号楼2层202-095,110114016328567,2013-09-25,刘庄,500万元人民币,91110108078505252Y
企加云,杭州企加云计算技术有限公司,企加云是一家CRM系统服务提供商，通过打通线上线下数据行为和交易数据构建精准的用户群体画像，助力企业用户进行高客单价零售或高端用户升级服务，提升用户满意度。产品服务包括：,杭州企加云计算技术有限公司,浙江省杭州市滨江区西兴街道阡陌路459号B楼1202室,330108400000940,2017-07-20,李军,1280万元人民币,91330108MA28W4PR3C,www.dt-saas.com
卓融科技,福州卓融信息科技有限公司,卓融科技是一家专注于金融行业IT技术研发、服务为一体的技术创新型企业。致力于为金融机构提供各种行业的金融融合业务解决方案，在行业资讯、软件开发、技术支持、实施支撑、运维服务等方面有优秀的团队，在云计算和大数据方面有较多的研究与应用。,福州卓融信息科技有限公司,,350102100092230,2011-01-30,余理政,100万元人民币,91350102569263876U,zrinfo.com.cn
湖北佬游戏中心,湖北英科瑞思软件开发有限公司,湖北英科瑞思软件开发有限公成立于2013年，是一家国际化的互联网科技企业，同时也是国家高新技术企业。公司主要专注于地面WIFI娱乐系统研发（高铁平台等）；软件应用&游戏研发；软件、游戏运营和发行。是中国具有行业创新型领先的互联网公司。,湖北英科瑞思软件开发有限公司,宜昌市伍家岗区沿江大道特168-7号,420500000160524,2013-01-25,习洪,1000万元人民币,91420500060675536Q,www.8633.com
盒子平台,广州市九浚信息技术有限公司,盒子平台是一个智能手机广告平台，面向Android系统，为开发者、广告主提供国内手机广告创新方案和优质渠道，专注绿色广告，为国内领先的移动广告传媒。,广州市九浚信息技术有限公司,广州市天河区建中路64、66号东203房(仅限办公用途),440106000751161,2013-03-29,黄玉荣,100万元人民币,91440101063349015R,www.ninebox.cn
恒原百炼,恒原百炼微电子科技（北京）有限公司,恒原百炼是一家微电子芯片研发商，恒原微电子是一家由风险投资公司投资的创业公司，公司致力于UWB芯片的设计和产品开发，技术核心来自于从美国和欧洲回国创业的技术骨干。. UWB（超宽带）技术，产品和市场。UWB技术应用于无线个域网（WPAN）中以高速、低功耗方式传输多媒体数据，传输速率可达480Mbps或更高。,恒原百炼微电子科技（北京）有限公司,北京市海淀区上地五街7号四层401,110000450200013,2012-03-09,张力,785.6146万元人民币
利嘉集团,利嘉实业（福建）集团有限公司,利嘉实业（福建）集团有限公司系港商独资企业。,利嘉实业（福建）集团有限公司,福州市台江区五一中路169号大利嘉城25层,350000400000350,1992-12-01,王辉,2168万美元,913500006110060494,www.linca.com.cn
圣海在线,深圳市圣海财富管理有限公司,圣海在线是一家整合社会资源、造就财富机遇的互联网众筹平台，业务涵盖了投资担保、财富管理、进出口贸易、物业投资等多个金融领域项目。,深圳市圣海财富管理有限公司,深圳市南山区西丽镇新围村旺棠工业区21栋5A01,440301108669802,2014-01-10,张淼虎,5000万元人民币,9144030008797857XY,www.shenghai365.com
尊尔网络,杭州尊尔网络科技有限公司,杭州尊尔网络科技有限公司：是一家集网店整体托管、代运营、网店装修、商城入驻等为一体的综合性电商托管运营企业，现已入选淘宝官方服务商。公司精通各种网店整体运营、线上活动全方位策划、项目过程管理等。同事拥有网络推广团队、精英客服团队、精通网店代运营的专业人才，从而保证每一个项目出色的品质及完善的服务。尊尔由多名电子商务资深人士及海外投资人组建而成，致力于成为中国领先的天猫代运营服务商及电商行业最佳雇主企业。尊尔专业运营团队拥有成熟的天猫代运营经验，团队80%以上拥有5-10年的电商从业经验，并多数都取得优异的成,杭州尊尔网络科技有限公司,杭州市西湖区振华路298号3幢1304室,330106000379470,2015-01-08,单韵韵,300万元人民币,91330106328304569T
中国酒投网,遵义博广酒文化传播有限公司,中国酒投网-中国酒类投资收藏交易网，是目前中国最专业的酒类投资电子商务网站，是以弘扬中国的传统民族产业、中国传统酒文化为核心的交流交易平台，主要从事酒文化挖掘、传播、推广、通过电子商务综合服务，全方位的为中国酒企提供最适应市场经济发展的、集酒文化产品研究、开发、营销于一体的新商业文化模式，促进中国白酒产业的上、下游资源与酒文化历史资源进行互补拓展、以创新的酒文化商业模式推动中国白酒产业加速发展，扩大中国白酒在国内国际市场的份额，提高中国白酒产业“中国造”的国际影响力！建立中国人自己的酒文化产业发展体系！,遵义博广酒文化传播有限公司,贵州省遵义市红花岗区公园路杨柳街“遵义红色1935”,520300000043641,2011-11-03,朱军,5000万元人民币,91520300584124540E,www.jk363.com.cn
艾乐橙,成都艾乐橙文化传播有限公司,艾乐橙文化传播是一家街舞培训服务提供商，专注于街舞教育培训，同时集街舞演艺和艺人推广的街舞产业化运作业务于一体，致力于提高青少年与成人用户的综合素质，提高他们的艺术表达力。,成都艾乐橙文化传播有限公司,成都高新区紫竹中街20号,510109000683280,2015-11-26,谢伯骏,100万元人民币,91510100MA61RPAD4K,www.d1kids.cn
央美铭轩美术培训中心,北京央美铭轩文化传播有限公司,央美铭轩美术培训中心是专注于美术教育的培训机构，提供包括素描，色彩，速写，创作，设计等科目。,北京央美铭轩文化传播有限公司,,110116015306877,2012-10-16,管会林,30万元人民币,911101160556023593,www.art887.com
晏语科技,重庆晏语科技有限公司,晏语科技是一家一站式高端定制互联网信息服务商，致力于企业网站开发、应用，电子商务平台研发、微信平台开发、APP开发、网络推广。,重庆晏语科技有限公司,重庆市江北区红盛路18号14-10,500105000417295,2014-01-17,周艳,200万元人民币,91500105089139403M,www.cqyanyu.com
荣恩电子,河南荣恩电子科技有限公司,荣恩企业总部（英文简称“ROONEN”）( www.roonen.com )位于国家战略规划中心——“中原经济区”之腹地郑州。,河南荣恩电子科技有限公司,郑州市金水区关虎屯小区海特大厦第8层811室,410105000001783,2008-12-19,崔本韫,500万元人民币,91410105683173751M,www.roonen.com
臻展文化,上海臻展文化发展有限公司,上海臻展文化发展有限公司是臻展投资集团旗下一家集创意设计、高端旅游、圈层营销，美育亲子为一体的新型文创企业，更是打造全新中国美育亲子服务平台 — 艺童趣玩。 艺童趣玩将科普及艺术完美融合，臻展文化依托上海交通大学、上海同济大学、中国美术学院、上海音乐学院、上海戏剧学院等校方优势资源，将国学和英语教育融入到艺术及科普的亲子系列课程中，结合比赛、课程、游学、活动等多种方式，将亲子美育、校园文化、社区学堂融为一体。,上海臻展文化发展有限公司,中国（上海）自由贸易试验区芳春路400号1幢3层,310115002611465,未知,方展,1000万元人民币,91310000332371641Y,www.zhenzhancc.com
中创派拉蒙,中创派拉蒙（北京）科技孵化器有限公司,中创派拉蒙是一家文创领域的创业孵化平台，业务包括项目孵化、创业辅导、融资对接、宣传推广及影视产品制作等。,中创派拉蒙（北京）科技孵化器有限公司,,110108018755004,2015-03-17,王业灿,500万元人民币,911101083182317498,www.plmeng.com
softman行车记录仪,北京麦卡思为信息技术有限公司,北京麦卡思为信息技术有限公司是由深圳彩讯科技有限公司和韩国（株）现代地图软件共同投资成立的中韩合资企业，总部位于北京市海淀区知春路甲18号。深圳彩讯科技有限公司是国家规划布局重点软件企业之一，致力于成长为中国领先的互联网技术和服务提供商。韩国（株）现代地图软件作为现代起亚汽车子公司，是韩国领先的导航地图和动态信息服务提供商，致力于为全球客户提供专业化高品质的电子地图数据产品与服务。北京麦卡思为信息技术有限公司在深圳彩讯科技和韩国现代地图的大力支持下已成为领先的汽车Telematics（车联网）信息技术公司。,北京麦卡思为信息技术有限公司,北京市东城区前炒面胡同33号16号楼3层303室,110101014544195,2012-01-05,禹秉根,2000万元人民币,91110101589096614K
诗佩妮,上海堇时生物科技有限公司,"""诗佩妮（隶属于上海堇时生物科技有限公司）,诗佩妮品牌2012年由在彩妆公司从事8年技术研发工作的年轻人创立，在当时市场守旧，开发出新颖产品不被贸易销售商青睐的情景下，心有不甘怀着遗憾选择创建自有品牌，首款产品，丝缎柔彩矿物眼影大理石纹理眼影，引入意大利烘焙工艺，当今最流行的魔幻时尚纹路，以出色的品质，良好的持久性，对于当时常规产品的市场上，无疑引入了一股清流。2017年3月成立上海堇时生物科技有限公司作为诗佩妮品牌战略中心。""",上海堇时生物科技有限公司,上海市闵行区新龙路1333弄96号812室,310117003614427,2017-03-10,李赛赛,100万元人民币,91310117MA1J213GXF,www.spenny.cn
云舒网络,深圳市云舒网络技术有限公司,云舒网络专注于为企业提供虚拟化以及云计算平台解决方案，以企业应用为导向，为企业在资源（数据、应用、桌面）使用上提供高效的体验，产品包括容器云-云舒AppSoar、应用云-云舒3C、桌面云-云舒Felex等。,深圳市云舒网络技术有限公司,深圳市南山区南山街道高新南一道006号TCL工业研究院大厦A座九楼A902室,440301104800222,2010-07-09,刘晓宁,2678.58万元人民币,914403005571740241,www.youruncloud.com
上药云健康,上海医药大健康云商股份有限公司,上药云健康是由上海医药集团股份有限公司出资设立的融通线上解决方案和线下零售资源的处方药 O2O 电商。公司的核心业务是“电子处方”、“药品数据”、“患者数据”这三大平台，为上海医药整合线下零售资源，布局零售网点；为患者提供一站式无缝对接的医药健康服务。,上海医药大健康云商股份有限公司,上海市徐汇区枫林路388号101C,310000000139423,2015-03-18,李永忠,133337.5万元人民币,91310000332370059F,www.sphcchina.com
音晨教育,上海音晨教育科技有限公司,音晨教育MSSVOCAL是一家声乐教育培训机构，面向演员、播音员、配音员、主持人、教师、企业发言人等提供音乐教育、培训。,上海音晨教育科技有限公司,上海市奉贤区联合北路215号第1幢1511室,310120002552452,2014-11-05,杨国英,300万元人民币,91310120320868503Q,www.mssvocal.com
