名字,公司,介绍,公司,地址,身份证,时间,法人,注册金额,编号,网址
汉格威,山东汉格威智能技术有限公司,"""山东汉格威新能源汽车电控制造有限公司(简称“汉格威”)，位于山东省济南市高新区,是一家专注于新能源汽车电控系统研发、生产、营销和服务的高新技术企业。""",山东汉格威智能技术有限公司,,370103200096079,2014-05-09,郭衍静,300万元人民币,91370100306860492A,hagerwin.com
融科,廊坊科技谷融科高新技术服务有限公司,融科是一家企业咨询服务商、人力资源服务商。,廊坊科技谷融科高新技术服务有限公司,廊坊开发区科技谷园区青果路99号,131001000016313,2011-04-25,李媛,1832.54万元人民币,91131001572849536U
威 尔 泰,上海威尔泰工业自动化股份有限公司,"""上海威尔泰工业自动化股份有限公司是一家主要从事仪表仪器,传感器的制造,自动化控制系统集成的公司.公司的主要产品为智能型现场仪表-压力变送器、电磁流量计、温度变送器及工业自动化系统.公司提供的产品有WT1151、WT2000等系列差压/压力变送器,XE/XEM系列、WT4300系列电磁流量计和多种现场总线温度变送器等现场仪表,同时也提供从自动化工程设计、工程承包到技术改造、技术服务和咨询等全方位的自动化工程服务.产品和技术广泛应用于电力、石化、冶金、造纸等各个行业.1998年连续成为""""上海市高新技术企业"""",2""",上海威尔泰工业自动化股份有限公司,上海市闵行区虹中路263号1幢,310000400024870,1992-10-24,李彧,14344.8332万元人民币,91310000607221766P,www.welltech.cn
酷秀股份,上海酷秀投资发展股份有限公司,"""公司通过各子公司开设门店。公司运营部统一对店面租金、消费族群、区域市场竞争情况等进行全方位市场调研;公司品牌部对门店的整体结构进行科学设计和合理布局;公司通过研发部自行设计开发的 VOD 点歌系统,营业管理系统、会员系统和进销存系统对门店进行数字化管理。""",上海酷秀投资发展股份有限公司,中国（上海）自由贸易试验区北张家浜路128号202-G室,310115002028513,2012-10-10,潘建兴,4875万元人民币,91310000055085267E,www.kooshow.cn
卡西威尔CosWheel,深圳市卡西威尔科技有限公司,卡西威尔CosWheel是一家智能电动车科技公司，主打产品为A-ONE智能电动车，白领上下班骑行时，平路可以拖行，上下台阶可以提拿，乘坐公交地铁时方便折叠进站。,深圳市卡西威尔科技有限公司,深圳市宝安区沙井街道后亭社区大埔北路佳领域工贸大厦401,440306114352689,2015-11-13,胡丁,100万元人民币,91440300359299977E,www.coswheel.cn
安逸时代,大连安易建筑工程有限公司,安逸时代是便民信息网站，为用户提供汽车站时刻表、银行网点、公交车路线、客运站时刻表等。,大连安易建筑工程有限公司,辽宁省大连市甘井子区小平岛亲海街117-129号,210231000009377,2009-03-25,刘洋,5000万元人民币,91210231683048176U,anyicd.cn
启邦互动,深圳市启邦互动科技有限公司,启邦互动，是一家网站建设（网页设计）公司，致力于为刚创业的公司及对网页视觉设计需要提升的企业提供网页建设，网页设计、网站改版、网站推广、网站搜索引擎优化(SEO)服务。,深圳市启邦互动科技有限公司,深圳市龙华新区民治街道民康路口秋瑞大厦513,440301107575567,2013-07-04,邱启良,10万元人民币,91440300073369538Y,www.sz-qibang.com
宣商集团,宣城市宣商电子商务有限公司,宣城市宣商电子商务有限公司是一个建筑装饰材料电商平台。,宣城市宣商电子商务有限公司,宁国市东风路台客隆广场3幢B段1007室,341881000080999,2015-04-24,杜富山,1000万元人民币,91341881336760134B,www.xuanjie88.com
OWL全景相机,北京凯普视界科技有限责任公司,,北京凯普视界科技有限责任公司,未知,110108023990397,2017-08-23,任立科,50万元人民币,91110108MA00HCBQ5B
WeBee网蜂科技,广州蜂汇电子科技有限公司,蜂汇物联（WeBee）是一家以技术为核心，专注于低功耗无线射频研发，致力于提供专业的物联网解决方案和个性化定制服务的高新企业，嵌入式软件定制、微信WEB定制以及后台云服务。通过提供整套物联网解决方案，协助客户缩短产品研发周期，以实现快速量产。,广州蜂汇电子科技有限公司,广州市天河区陶育路82号第四层自编B4024房,440106000864346,未知,姚文发,3万元人民币,91440101068696542P,www.smartwebee.com
