名字,公司,介绍,公司,地址,身份证,时间,法人,注册金额,编号,网址
南方联合,深圳市南方联合移动通信设备有限公司,南方联合是一家智能手机制造商，拥有PCBA、研发、集成、生产、测试、销售自主品牌手机产业链条，与高通、联发科、展讯等公司建立了战略合作伙伴关系，致力于为客户提供自主独立品牌手机产品及服务。,深圳市南方联合移动通信设备有限公司,深圳市宝安区沙井街道马安山万安路132号A栋三楼,440306106217674,2012-05-09,苏再兴,2000万元人民币,9144030059567736X2,www.sumobile.cn
装库,吉林省装库家居产业研究院有限公司,装库是一个家居网购平台，通过聚合生产商、原创品牌、设计师等众多家居类产品及方案素材，依据百万真实户型、3D场景交互技术，为用户打造“网上有个家”，实现风格多样、物美质优、平价快捷的家居网购平台。,吉林省装库家居产业研究院有限公司,,220107000020196,2013-08-01,王敬,200万元人民币,91220101073609247K,www.zk-house.com
亿澳森,北京亿澳森环境工程有限公司,北京亿澳森环境工程有限公司是一家环境工程研发商。,北京亿澳森环境工程有限公司,北京市朝阳区高碑店乡半壁店村惠河南街1005号22幢二层202,110105013089198,2010-07-30,占金松,1000万元人民币,911101055585069400
鸡窝网,北京元苡佰科技有限责任公司,北京元苡佰科技有限责任公司致力于智能手机配件研发、改善手机用户的使用体验、打造手机配件的顶级品牌、整合手机配件市场。公司下设技术部、研发部、产品部、运营部、市场部、等，团队成员行业内工作经验平均达10年以上。,北京元苡佰科技有限责任公司,北京市通州区永乐店镇柴厂屯村东（联航大厦）1-549号,110112019125769,2015-05-18,王剑锋,123.4568万元人民币,911101123355964918,www.ijowo.com
神目科技,深圳神目信息技术有限公司,神目科技是一家计算机视觉公司，主要以人脸识别，姿态识别、物体识别等核心算法在安防、零售以及移动手机端落地服务。神目科技在国内的落地应用场景为有三类：智慧城市、智慧旅游以及基于手机的人脸识别API。智慧城市的落地主要由其子公司武汉神目和烽火科技集团联合成立的合资公司幻视智能负责。,深圳神目信息技术有限公司,深圳市龙华区观湖街道松元厦社区虎地排117号锦绣大地7号楼401，深圳市南山区南山街道南山大道新绿岛大厦 3 楼3B06,440300280076628,2017-11-17,JINGFENG LIU,114.2857万元人民币,91440300MA5EUGYW4W,deepcam.com
易裁3Dclo,上海易裁信息技术有限公司,易裁3Dclo是一个基于3D技术的高级成衣定制平台。通过身体数据硬件扫描，建立三维模式，应用曲面展平技术结合制版技术，为用户提供互联网成衣定制量体、免试穿和消费体验等。,上海易裁信息技术有限公司,上海市静安区中山北路470号5幢216室,310106000275497,2015-08-13,沈艳,800万元人民币,91310106351147688H
北京立方天地科技,北京立方天地科技发展有限责任公司,北京立方天地科技已成为国内唯一的PIV系统生产商，隶属于北京立方天地科技发展有限责任公司，该公司的业务范围涵盖有PIV技术相关的设备生产、销售、使用、维护到客户订制方案的解决。高素质的研发团队保证用户可以不断拥有采用国际一流PIV技术开发所得各种产品。,北京立方天地科技发展有限责任公司,北京市朝阳区管庄西里（建材机械厂厂区）54号楼217室,110115004927029,2002-10-18,谢铁柱,200万元人民币,91110105743319100C,www.piv.com.cn
景尚科技,深圳市景尚科技有限公司,深圳市景尚科技有限公司成立于2011年，由国内外专业团队联合创办的高科技企业。致力于半导体设备开发、生产、并为客户提供高效率与高质量的测试服务，助力国内集成电路的快速发展与国家工业4.0发展战略,深圳市景尚科技有限公司,深圳市龙岗区坂田街道五和大道5022号亚莲好时达工业厂区厂房二栋四楼西侧,440306106246515,2012-05-18,龙朝晖,1519.6928万元人民币,9144030059676932XD
炼道科技,炼道科技（上海）有限公司,炼道科技是一家高精地图研发商，专注于打造高度自动化的地图数据生产流程，和基于视觉技术的地图众包生产和更新模式，从而实现高精地图中静态元素、动态事件的实时更新。致力于为自动驾驶车辆提供了高精度定位、环境感知和路线规划等核心能力，并可在部分传感器失效时提供基础感知保障。,炼道科技（上海）有限公司,上海市徐汇区田林路487号27号楼1层16号工位,,2018-06-01,李东旻,100万元人民币,91310104MA1FRD6M3B
天辰信息技术,唐山天辰信息技术有限公司,唐山天辰信息技术有限公司是一家从事工业4.0应用产品，数据采集、能源管理系统、物联网软件、硬件产品及配套流量仪表的高科技公司。,唐山天辰信息技术有限公司,唐山市丰南区经济开发区,130282000029638,2014-06-06,王世权,160万元人民币,911302823081697699,www.tianchen.com.cn
