名字,公司,介绍,公司,地址,身份证,时间,法人,注册金额,编号,网址
金雷风电,金雷科技股份公司,"""山东莱芜金雷风电科技股份有限公司是一家专业研发、生产风电主轴的高新技术企业,主导产品有1.0MW至2.5MW的风电主轴及Φ1200mm以下冷、热轧辊等各类大型锻件,具有年生产MW级风电主轴3000台、Ⅰ-Ⅴ级各类大型锻件5万吨的生产能力。""",金雷科技股份公司,莱芜市钢城区里辛镇张家岭村,371200228037335,2006-03-24,伊廷雷,23805.6802万元人民币,91371200787153413N,www.jinleiwind.com
蓝米联盟,浙江蓝米生物科技有限公司,蓝米联盟是蓝米生物科技有限公司联合行业内几大团队精英创始人创办的微商第一联盟。蓝米联盟运用行业里最先进的营销理念及管理模式，结合中国微商行业的实际环境，整合微信平台、线上线下利益共享、会员中心、网商结算、物流配送等商业运作方式，搭建以市场营销、品牌运营、资本运作为目的综合性商业联盟。蓝米联盟以互利互惠，合作共赢、微商操盘、品牌联盟等为主要经营范围，通过合作、加盟等方式与联盟商结成战略合作伙伴关系，并与国内外知名品牌商家建立长期供货的合作关系，成为微商界最强大的交互式多赢商业模式运营商。,浙江蓝米生物科技有限公司,浙江省杭州经济技术开发区上沙路228号中沙金座6幢1512室,330782000525019,2015-01-12,张亨立,1000万元人民币,913307823278321759,www.lanmilianmeng.net
Funny,湖南同路互联网科技有限公司,湖南同路互联网科技有限公司是一家专注移动互联网领域的高新技术开发与应用公司，主要从事移动互联网应用软件开发与运营业务，目前公司正开发一款专门针对线下社交活动组织的平台类应用工具Funny。,湖南同路互联网科技有限公司,长沙高新开发区麓龙路199号麓谷商务中心BCD座BCD栋1116号002号（集群注册）,430105000163994,2015-07-02,黄智,200万元人民币,91430100344716600A,www.funparty.top
奥太电气,山东奥太电气有限公司,山东奥太电气有限公司是目前国内规模最大的工业用逆变焊接设备制造企业，专业从事逆变焊机、专用焊接设备及光伏并网逆变器的研发、生产与销售，是国家级重点高新技术企业，是国内逆变设备行业的领先者，其产品核心技术获国家科技进步二等奖。,山东奥太电气有限公司,济南市高新开发区伯乐路282号,370000018078899,2003-03-10,陈仁富,2000万元人民币,9137000074783357XN,www.aotaidianqi.com
诺诚生物,广州诺诚生物制品股份有限公司,广州诺诚生物制品股份有限公司是一家集研发、生产和销售为一体的生物制品股份有限公司。公司产品“冻干人用狂犬病疫苗（Vero细胞）”系自主创新、首次应用固定床篮式生物反应器及Disks载体，大规模高密度培养Vero细胞、繁殖狂犬病毒制成，是国内唯一具有4年效期产品。,广州诺诚生物制品股份有限公司,广州市经济技术开发区连云路406号,440101000142955,2006-04-20,周力践,8400万元人民币,91440101786086271N,promise-bio.com
慧飞,深圳市慧飞教育有限公司,慧飞是一个无人机应用技术培训中心，是全球无人机领军企业——大疆创新DJI的全资子公司，为客户提供无人机培训服务。慧飞采用国内首个专注于无人机应用技能的UTC培训体系，该体系由中国航协通航分会与中国成人教育协会联合推出。,深圳市慧飞教育有限公司,深圳市南山区粤海街道高新南四道18号创维半导体设计大厦西座14层,440301116208768,2016-05-19,郭晰娴,1000万元人民币,91440300MA5DD13L2R,www.uastc.com
安诺机器人,安诺机器人（深圳）有限公司,安诺机器人是一家桌面机械臂产品研发商，致力于为教育机器人、轻工业机器人、服务机器人提供桌面机械臂产品和解决方案。旗下产品包括五轴/六轴桌面机械臂、机械臂模块套装等。,安诺机器人（深圳）有限公司,深圳市南山区桃源街道平山村111栋703号,440300200835893,2017-04-20,黄煌,100万元人民币,91440300MA5EGA7N6R,www.robotanno.com
诺塔斯智能,重庆诺塔斯智能科技有限公司,诺塔斯智能是一家无限射频识别技术研发商，旗下研制开发的电子产品主要涉及手持设备、IC卡设备、车载设备、精密光谱仪器设备等，被广泛用于电网电力、智能机器人、机械制造等领域。,重庆诺塔斯智能科技有限公司,重庆市北部新区青枫北路18号凤凰A座5楼579,500901000339506,2013-11-19,张宏,100万元人民币,91500000083067023L,www.lotuscard.cc
考研万题库,北京美好明天科技有限公司,万题库是一家在线题库学习服务提供商，为用户提供各类题库考试的题目学习、试卷练习及模拟考试服务，并通过必考考点、考试高频必考题以及考生考场高频率错题帮助用户规避易错题型，提升考试成绩。隶属于北京美好明天科技有限公司。,北京美好明天科技有限公司,北京市海淀区中关村南大街甲12号1幢1606室,110108018506946,2015-01-19,陈伟大,150万元人民币,91110108327278936N,www.wantiku.com
天津亚安科技,天津市亚安科技有限公司,天津亚安科技是一家安防和视频监控产品的供应商，致力于面向全球提供视频图像分析处理、目标跟踪定位等系列产品，旗下主要产品为前端摄像机、云台护罩，数字网络传输、存储、主控设备以及视频综合管理平台等。,天津市亚安科技有限公司,天津市滨海高新区华苑产业区（环外）海泰华科八路6号,120000400060178,1996-01-11,刘世国,7800万元人民币,91120000103467121N,www.chinayaan.com
