名字,公司,介绍,公司,地址,身份证,时间,法人,注册金额,编号,网址
轻氧沙拉,海南轻氧科技有限公司,轻氧科技专注于健康轻食的开发、制作、配送，拥有五星级酒店主厨、明星健身教练、营养专家组成的精英团队，在低脂低糖沙拉酱、饮品方面更有深厚积累。??,海南轻氧科技有限公司,海南省海口市龙华区龙昆南路52号润德商业广场（A’B区）首领公馆11层1101房,,2016-09-14,张卓然,600万,91460100MA5RD8ND6A
挖图,河北推趣世纪信息技术有限公司,挖掘最in时尚潮流。,河北推趣世纪信息技术有限公司,,131028000008348,2012-12-18,孟宪明,1000万元人民币,91131028059424668F
猎隼无人机,武汉猎隼科技有限公司,猎隼科技是一家专业级无人机研发商，专注电力行业，业务涉及到电力巡线、架设线路、核辐射监测和电子设备设施故障监测，研发数据链协议与信息处理技术，产品精准定位行业用户，通过定制化载荷解决行业多样化需求，产品包括载具系列及载荷产品体系两大系列。,武汉猎隼科技有限公司,武汉市东湖新技术开发区大学园路20号2#生产科研大楼四层,420102000312439,2013-07-17,王志鹏,1648.94万元人民币,91420100074451680M,www.sftuav.com
思熙传媒,上海思熙文化传媒有限公司,豆馆APP是思熙传媒出品的一款不赚差价的O2O移动互联产品，作为时尚行业经纪平台，公司致力于从根本上降低商家成本，提高模特、礼仪等从业人员收入，为时尚行业做出突破性的贡献。,上海思熙文化传媒有限公司,上海市奉贤区庄行镇大叶公路2189号第4幢1118室,310120002857509,2015-07-28,张泽乾,500万元人民币,9131012035098103XM,www.madouguan.com
国鸿氢能,广东国鸿氢能科技有限公司,国鸿氢能是一家燃料电池生产商，公司主要产品包括氢燃料电池商用车、纯氢燃料备用电源、氢燃料电池电堆、燃料电池发动机等，产品广泛应用于各种车型、无人机、汽车交通、分布式电站等领域。,广东国鸿氢能科技有限公司,广东省云浮市云城区思劳镇佛山（云浮）产业转移工业园南园区9号,445300000014028,2015-06-30,马东生,20000万元人民币,91445300345445136E,www.sinosynergypower.com
兴恒隆,厦门兴恒隆股份有限公司,"""公司专业从事节能户外照明产品的研发、制造与销售及照明系统设计的综合型高新技术企业,为各类户外照明工程提供专业解决方案。公司经过十几年的发展,现已成为中国户外照明行业最具影响力的专业集成供应商。公司自有30000平方米生产基地,配置了先进的应用产品的生产设备、检测仪器,专业从事节能型照明电器、传统照明,光学照明,无极灯照明,超高亮度发光二极管(LED)模组、大功率LED道路照明、投光灯、聚光灯、遂道灯等户外照明系列产品,LED装饰照明产品及高亮度LED室内灯产品的研发、制造与销售,进行室内照明、商业照明、室外""",厦门兴恒隆股份有限公司,厦门市同安区莲美三路81号,350200400010406,2006-01-16,王红艳,5704万元人民币,91350200776044318G,www.hollylite.com
默安科技,杭州默安科技有限公司,默安科技为企业构建用户视角的威胁情报体系、提供云计算平台及云租户安全解决方案、提供SDL软件开发安全解决方案，输出幻盾、哨兵云、BAF（业务安全防火墙）等安全产品，并提供渗透测试、蓝军对抗、安全培训等安全服务。默安科技致力于成为企业全流程“研发安全”的赋能者，将安全的能力赋予研发过程中的每个角色，建立从开发到运营的安全测试管理流程，保证安全贯穿于软件开发全生命周期的每个环节，解决上线前的代码安全问题。,杭州默安科技有限公司,杭州市余杭区仓前街道良睦路1288号5号楼北306-3室,330184000462835,2016-04-26,聂万泉,1246.5719万元人民币,91330110MA27XFA28T,www.moresec.cn
小猫停车,深圳市小猫信息技术有限公司,小猫停车是一家智能停车系统研发商，产品涵盖免取卡收费系统、全视频车位引导系统、全视频反向寻车系统、小猫停车手机应用等管理系统，广泛应用于商业广场、企事业单位、政府机构、写字楼及住宅小区等领域。隶属于深圳市小猫信息技术有限公司。,深圳市小猫信息技术有限公司,深圳市南山区深圳软件产业基地5栋E座4楼,440301111632079,2014-11-11,范春林,1221.5116万元人民币,914403003196285000,www.mallparking.cn
爱赚网,南宁爱赚网络科技有限公司,南宁爱赚网络科技有限公司是一家大学生兼职一站式服务平台。致力于从事高校兼职市场。是一家校园兼职—校园金融—校园电商三位一体化模式的网站，也是对企业和大学生实施免费服务（不收取会员费，中介费，服务费和扣取学生工资），并且对企业和学生双向全担保赔付制的网站。,南宁爱赚网络科技有限公司,南宁市青秀区英华路66号半岛·融园二期8号楼1单元8-1-1401号,450103000289685,2015-06-18,周昱,111.1111万元人民币,91450103348534601M,www.xyazw.com
博大网信,北京博大网信科技发展有限公司,博大网信以打造智慧城市、奉献美好生活为己任，以智慧城市产业为核心业务，力争成为国内一流的“集顶层方案设计、解决方案提供、投资建设于一体”的智慧城市综合运营服务商。主营业务是：通信基础设施的建设、管理和运营；智慧建筑的设计与施工等。,北京博大网信科技发展有限公司,北京市北京经济技术开发区荣昌东街甲5号1号楼5层2A,110302003906612,2002-06-24,栾志海,5988.78万元人民币,91110302739352792C,www.ebda.cn
陆巡科技,深圳陆巡科技有限公司,陆巡科技是一家电动汽车制造商。从事特种装备电源和电动汽车车载电源两大业务领域，致力于为用户提供端到端的电源一体化解决方案和一站式服务，在电动汽车领域覆盖车载充电机OBC、车载DCDC变换器和车载集成电源，广泛应用于电动乘用车、电动物流车、电动客车和电动工程车。,深圳陆巡科技有限公司,深圳市宝安区新安街道兴东社区71区阳辰电子厂机房整套二楼、四楼,440306107258541,2013-05-08,吴文江,1136.3636万元人民币,9144030006857297X2,www.landworld.com.cn
华俄激光,武汉华俄激光工程有限公司,华俄激光是一家激光切割设备研发商，集研发、生产和销售于一体，主要产品包括光纤激光切割机、管材激光切割机、孔激光焊接机等，面向广告行业、灯具行业、铁艺门窗、厨具行业等领域提供解决方案及技术支持。,武汉华俄激光工程有限公司,东湖开发区光谷大道76号,420100400008402,2008-05-30,付俊,1000万元人民币,91420100672790463Q,www.helaser.com.cn
