名字,公司,介绍,公司,地址,身份证,时间,法人,注册金额,编号,网址
数力网络,上海数力网络科技有限公司,数力网络专注于SaaS（软件即服务）智能营销平台领域，公司开发的Clickplus方案以营销落地为核心和以数据作为驱动力，解放了客户过去在营销运营上对技术团队的依赖，极大的提高了运营工作效率，数据功能完善，性价比高，支持第三方产品监测，系统可以无缝对接，营销效果的AB测试、智能落地页、千人千面等功能有效帮助客户节省广告预算，提升转化效果，以行业角度切入市场，帮助中小客户通过工具达到大中客户的市场营销运营的能力。,上海数力网络科技有限公司,上海市嘉定区江桥镇沙河路337号1-203室J103,310114003024939,2016-01-20,刘立军,1250万元人民币,91310114MA1GT5JG7N,www.clickplus.cn
源清生物,湖北源清生物科技股份有限公司,湖北源清生物科技股份有限公司是一家专注于绿色环保科技的民营高科技企业。公司由吕志江博士创办，拥有一支海归博士团队，主要从事水生态修复、垃圾无害化处理（生物有机肥生产）、有机农产品开发及技术咨询服务。公司以改善中国民众的生活环境、提高农业生产水平和维护食品安全为宗旨。公司拥有国际领先技术中温好氧处理工艺，既能减少有机垃圾的填埋和焚烧，又能确保资源循环再利用。运用本公司湖泊水体富营养化修复技术（水生态工学）能达到持续净化富营养化水体中氮、磷的目的。,湖北源清生物科技股份有限公司,鄂州市华容区临江乡龙潭村,420700000101082,2015-03-06,吕志江,3680万元人民币,91420700331757059M,www.hbyqll.com
郑州矩阵动力网络科技,郑州矩阵动力网络科技有限公司,郑州矩阵动力网络科技有限公司旨在网络商城建设、在线网络广告营销推广、全面社交媒体与客户在线互动，同时进行移动电子商务的开发和推广运营的商业公司！本公司主要围绕移动电商、O2O、微信第三方开发，致力于线上订购的商品或者服务，如何到线下领取，利用互联网技术完成传统行业线上和线下的对接，旗下拥有一家餐饮管理公司，致力于中西餐产品的研发、销售及配送。,郑州矩阵动力网络科技有限公司,郑州经济技术开发区航海东路1356号609房,410198000035773,2013-10-09,王涵光,100万元人民币,914101000794423610,www.matripe.cn
大乔易贷,河北东乔企业管理咨询有限公司,大乔易贷是达盈紧固件集团与河北太极紧固件集团合资打造的P2P借贷平台,河北东乔企业管理咨询有限公司,邯郸开发区世纪大街26号鑫域国际综合楼B座1单元12层1202号,130405000018458,2015-07-09,王晓磊,5000万元人民币,91130405347642897J
超级探针,北京食安链科技有限公司,食安科技，是一家基于区块链、大数据分析、高精度传感器开发技术为食品行业开发研制终端智能检测硬件的新型高科技研发企业。主要针对目前食品行业的快检领域提供快速、便捷、低成本且数据真实、无法篡改的食品检测解决方案，并研制出智能硬件产品——超级探针检测系统。,北京食安链科技有限公司,北京市朝阳区来春园27号楼等2幢28号楼2层201区125号,,2018-03-29,尧小兵,1000万元人民币,91110105MA01B4CK97,www.suprobe.com
爱碰APP,深圳爱碰科技有限公司,爱碰APP是一款视频社交类应用软件。,深圳爱碰科技有限公司,,440300203565293,2018-01-24,杨阳彬,1000万元人民币,91440300MA5EYTNQ2L
湘潭住房投资,湘潭市保障性住房投资有限公司,湘潭住房投资是一家住房改造投资商，主要经营范围是廉租房、经济适用房和公共租赁房的改造建设投资,湘潭市保障性住房投资有限公司,湘潭市雨湖区城正街观湘门直街60号(原湘潭县政府),430300000062892,2012-03-29,谭量,12500万元人民币,91430300593265468M
巨兔网络,上海巨兔网络科技有限公司,巨兔网络科技诞生于2013年，前身为2009年创立于台湾的华胥文创，经营欧美与大陆市场已有多年经验，现主力从事手机游戏的研发营运，及其他文创产品版权代理。,上海巨兔网络科技有限公司,上海市徐汇区桂平路96号201-11室,310104000561881,2013-11-28,郑雯,10万元人民币,9131010408411141X7,www.jutu.so
到了么出行,上海翰新汽车服务有限公司,到了么出行是一家在线叫车服务提供商，用户通过APP可一键拨通本地客服叫车服务。平台会自动撮合出行时间段，并集中其他拼友用户，来减少用户拼车等待时间。用户可随时随地查看司机在线情况，车费支付方式包括支付宝、微信、现金支付等。,上海翰新汽车服务有限公司,上海市闵行区东川路555号乙楼4106室,310112001664292,2016-08-11,周正艮,800万元人民币,91310112MA1GBBW90W
三安光电,三安光电股份有限公司,"""三安光电股份有限公司是一家以LED发光器件为主的高科技光电能源公司.公司主要从事电子工业技术研究、咨询服务;电子产品生产、销售;超高亮度发光二级管(LED)应用产品系统工程的安装、调试、维修;经营本企业自产产品及技术的出口业务;经营本企业生产所需的原辅材料、仪器仪表、机械设备、零配件及技术的进口业务;经营进料加工和""""三来一补""""业务.公司主要产品为芯片和LED应用产品.公司作为国家人事部认定的企业博士后科研工作站,不仅引进了当今世界先进的LED外延生长和芯片制造的设备,而且还拥有由国内外光电技术顶尖人才组成的""",三安光电股份有限公司,湖北省荆州市荆州开发区东方大道131号,420000000008971,1993-03-27,林志强,407842.4928万元人民币,91420000271752845A,www.sanan-e.com
