名字,公司,介绍,公司,地址,身份证,时间,法人,注册金额,编号,网址
单车迷,武汉市单车迷网络有限公司,单车迷是一家关注骑行领域相关资讯服务的创业凭条，主要为骑行爱好者提供买车、用车、养车信息以及相关的服务。单车迷网络科技有限公司是面向全国自行车业界和自行车运动爱好者的专业资讯平台。单车迷涉及自行车车型搜索、自行车参数对比、自行车业界资讯、招商信息、赛事报道、单车旅行、导购评测、展览展会、多媒体视频、品牌推广等方面业务，旨在为自行车业界提供良好的展示平台，给自行车运动爱好者第一时间提供专业的自行车资讯。,武汉市单车迷网络有限公司,武昌区徐东二路2号创意园大学生创业特区3号孵化楼106室,420111000315537,2014-03-12,郭敬佩,10万元人民币,91420106093156118U
得吉信息,沈阳得吉信息技术有限公司,得吉信息重在为企业提供软件解决方案，提供移动互联网SaaS软件的开发、维护，技术信息咨询等服务，同时还可以提供电子价签技术以及企业经营商用设备等，隶属于沈阳得吉信息技术有限公司。,沈阳得吉信息技术有限公司,"""沈阳市和平区太原南街18号505室"
""
""
""
""
""
""
"""",210102000055248,2010-02-26,赵福春,30万元人民币,91210102550754755C
天府通,成都天府通金融服务股份有限公司,成都天府通金融服务股份有限公司是经成都市政府批准设立的按照现代企业制度组建，实行自主经营和独立核算的国有控股股份有限公司，公司注册资本人民币1亿元。在全市公共服务和政务服务领域推进金融IC卡应用；组织实施“城市一卡通”项目，在公共服务和政务服务领域开展第三方支付及清（结）算业务；围绕“城市一卡通”项目需要，从事公共支付管理服务平台和“城市一卡通”信息管理服务平台的开发、建设、营运、管理与维护；提供相应的技术服务与数据服务。,成都天府通金融服务股份有限公司,中国(四川)自由贸易试验区成都市高新区吉瑞四路399号金控时代广场1幢,510100000207094,2011-08-08,解原,25000万人民币,91510100580015910P,www.cdtft.cn
东古航空,上海东古航空科技有限公司,东古航空是一家无人机解决方案供应商，人机产品可广泛应用于工业巡检、遥感测绘、农林植保、安防救援、环境保护等。通过对无人机收集的超视距图和实时监控信息进行数据挖掘与分析，可实现对潜在的设备故障、管道漏油和可疑的车辆人员进行告警。,上海东古航空科技有限公司,浦东新区南汇新城镇环湖西一路99号主楼103B16室,310115002766421,2015-07-29,何政道,1111.12万元人民币,9131011535101579X2,www.doaero.cn
万芳园艺,福建万芳园林艺术股份有限公司,福建万芳园林艺术股份有限公司主营业务是花卉、苗木的研发、种植与销售。公司的主要产品有茶花、黄金枸骨、红果冬青、福建山樱花、竹柏、桂花、红叶石楠等。公司曾被福建省花卉协会评为2012-2013年度全省十佳花木种植企业，2014年被评为三明市2013-2015年度农业产业化市级龙头企业。,福建万芳园林艺术股份有限公司,福建省三明市水南镇滨河南路-1-5层1一楼,350428100011263,2012-06-01,李源,3060.2725万元人民币,91350400595996547R,www.miaomu.com
领益科技,领益科技（深圳）有限公司,领益科技专注于消费电子产品精密功能器件产品的设计、研发、生产与销售，产品及服务广泛应用于智能手机、平板电脑、可穿戴设备、笔记本电脑等消费类电子产品行业，客户覆盖华为，OPPO，VIVO等智能手机品牌，富士康，绿点科技，蓝科技，Bourne Optics等装配厂。,领益科技（深圳）有限公司,深圳市龙岗区坂田街道五和大道5022号亚莲好时达工业厂区厂房3栋7楼A区,440307503432348,2012-07-06,曾芳勤,111000万元人民币,91440300599092561B,www.tlgchina.com
云南职之涯,云南职之涯教育信息咨询有限公司,云南职之涯教育信息咨询有限公司（以下简称云南职之涯）于2014年3月在昆明成立，是西南地区首家专业从事职业生涯发展理念引入和传播的教育培训机构，同时，也是云南省域唯一的国家人力资源与社会保障部“生涯规划师”认证培训代理机构。 ?云南职之涯的核心价值理念：专业、权威、成长、助人。 ?云南职之涯以志愿者公益项目彰显“成长、助人”理念，在传播生涯规划理念的过程中更好的服务社会。 ?一、 业务范围 ?业务范围包括：认证培训事业部（生涯规划认证培训、个人职业定位培训）、青少年公益事业部（中、大型公益讲座，大学、中学的,云南职之涯教育信息咨询有限公司,云南省昆明市官渡区昆交会旁荣发花园荣湖楼5幢6-7层6-7C号,530111100203906,2014-02-28,李军,100万元人民币,91530111091340974T,www.yncareer.com
中经汇通,中经汇通电子商务有限公司,中经汇通是一家为政府单位、企事业单位、个人客户提供油品供应与汽车后市场综合服务的集团公司。早在2001年开始，就与中石油、中石化两家石油公司合作加油卡业务 ，至今拥有包括中石油 、中石化、中油BP 、中海油等几千个特约加油站，并拥有百佳超市、摩登百货、肯德基、邮政、OK便利店、及众多汽车服务特约商户，形成跨品牌、跨区域、跨行业的消费服务网络平台。,中经汇通电子商务有限公司,广州市黄埔区埔南路2号239房,440101000189862,2012-02-15,柯宗耀,35356.2617万元人民币,9144010158954179XH,www.youoil.cn
金汇膜,山东金汇膜科技股份有限公司,公司主要从事超滤膜、纳滤膜、反渗透膜、电渗析、电积锌及组件技术的开发及相关产品制造销售。金汇膜重点生产聚丙烯腈(PAN)、聚偏氟乙烯(PVDF)、聚醚砜(PES)、聚砜(PS)中空纤维超滤膜产品。主要产品包括中空纤维膜组件和成套膜设备。同时公司为膜组件、膜设备提供优质售后技术支持。,山东金汇膜科技股份有限公司,山东省招远市金龙路39号,370685200000146,2007-11-14,宋玉志,2531.9799万元人民币,91370600679203233G,www.jinhuimo.com
意见领袖,巴州鬼谷子企业策划有限公司,巴州鬼谷子企业策划有限公司，主要从事广告设计制作及新型材的开发及工程使用。代理批发高端型材广告制作品。巴州鬼谷子企业策划有限公司是新创公司，公司联合创始人武斌在营销管理上有着18年的砥砺磨炼，在2004创建临沂经济开发区喜哈日化有限公司并运营到2014年，资金坎，人力坎，营销坎、管理坎，等全部都经历过，并一直在努力学习进步。,巴州鬼谷子企业策划有限公司,,652801050098552,2015-01-07,陈芳,100万元人民币,91652801313487462M
将军茶饮,南昌兆胜贸易有限公司,将军茶饮是一个茶饮连锁品牌。以传承中国茶文化为核心理念，坚守传递好的品质，好的服务。专业的台湾研发团队，颠覆传统行业推陈出新，赢得广大消费者认可。,南昌兆胜贸易有限公司,江西省南昌市南昌高新技术产业开发区紫阳大道1216号新力方大厦综合楼2425室,360106210066832,2017-04-12,何共兆,50万元人民币,91360106MA35UU3NXL,jjcytea.com
微开网络,西安微开网络科技有限公司,西安微开网络是一家自由开放的移动互联网公司。专注微信平台的开发及运营，致力于为中小企业提供合适的移动互联网解决方案，为微信支付服务商提供技术平台，快速生成支付二维码，以及朋友圈广告精准投放，专注于用专业的态度去解决客户的需求。,西安微开网络科技有限公司,西安市碑林区南院门湘子庙街87号,610100100768813,2015-04-07,郭君,200万元人民币,91610100333733974M,www.vkaifu.com
看逗逗,深圳市拉呱科技有限公司,《看逗逗》是一款“互联网政务+乡友互动社区”APP，是APP市场上为数不多的一款政务服务产品，为了提高广大民众办事效率，减轻政府职能部门压力，特意研发了这款APP。,深圳市拉呱科技有限公司,深圳市南山区粤海街道科技园社区科技园高新中一道长园新材料港长园新材料港1栋4楼,440306114124149,2015-10-16,李冲,500万元人民币,914403003588026732,www.2017zsx.com
云书,杭州云书网络科技有限公司,云书是一个免费送教材的平台，致力于打造一家高校二手教材循环、以环保为理念的互联网公司。云书的业务模式为：用户通过移动端下单-云书平台收到订单进行选书-仓库出库-自建物流配送至校园网点-校园兼职团队配送-用户。,杭州云书网络科技有限公司,浙江省杭州经济技术开发区白杨街道科技园路2号5幢6层25-28单元,330198000107152,2015-02-11,郑霖,61.9189万元人民币,91330101328188860D,www.qess.me
猿人公社,杭州猿仁科技有限公司,猿人公社是一家技术型众创空间，通过招募技术团队和互联网创业团队入驻的形式给予创业团队以技术支撑和技术服务，打造技术和创业项目的集散，形式以技术服务为差异化定位的特色众创空间。公司现在的主要业务为办公工位出租、软件开发业务和创新创业服务，隶属于杭州猿仁科技有限公司。,杭州猿仁科技有限公司,杭州市滨江区长河街道秋溢路288号2幢1层102室—001,330108000250484,2015-12-16,郭灵杰,10万元人民币,91330108MA27WGQY9X,www.yuanrengongshe.cn
牵牵相亲,唐山牵牵婚姻服务有限公司,牵牵相亲是一个唐山本地的相亲交友平台，提供免费自助的相亲社区、标准化的相亲服务、情感咨询和恋爱辅导、结婚一条龙服务等婚恋交友服务。,唐山牵牵婚姻服务有限公司,唐山路北区部西里4-1-104,130203000023751,2013-05-24,芦洪燕,3万元人民币,91130203069431108P,qq.qq0315.com
卡豹,上海卡豹汽车科技有限公司,上海卡豹汽车是一家专注于汽车轻量化、模块化、平台化设计研发，汽车、新能源汽车轻量化车身研究设计、新材料在车身上的应用、整车轻量化解决方案的设计公司。,上海卡豹汽车科技有限公司,上海市金山区海丰路65号3476室,310116003102213,2014-06-03,翟俊霖,1000万元人民币,913101163014747520,www.carbody.cn
海特比奥,苏州海特比奥生物技术有限公司,苏州海特比奥生物技术有限公司是一家从事生物医药新产品的研发以及技术开发、技术交流、技术引进、技术推广、技术转让、技术服务，生物工程、生物医学工程及生物医药技术咨询与服务的合资公司，致力于抗肿瘤化学药物、抗肿瘤分子靶向药物、肿瘤检测试剂盒的研发与产业化推进。公司通过对资本、技术、管理、生产、营销资源优化组合，以肿瘤分子靶向药物为主要方向，将各研究阶段的药物推向产业化，以造福中国乃至世界的肿瘤病患。,苏州海特比奥生物技术有限公司,太仓市沙溪镇生物医药产业园,320585000173493,2012-12-11,曹海燕,3100万元人民币,91320585058678316X,www.tcrc.com.cn
中科天芯,中科天芯科技（北京）有限公司,中科天芯是一家光电子芯片研发商，公司集设计、工艺、封装、检测于一体，主要产品包括激光雷达芯片，产品可广泛应用于短距离激光雷达、人脸和手势识别、AR、VR、汽车驾驶、安防等领域。,中科天芯科技（北京）有限公司,,110102015184815,2012-08-22,刘敬伟,3334.4444万元人民币,91110102053645937U,www.cssctech.com
黑蚁文创,成都黑蚁文化创意股份有限公司,黑蚁文创是一家营销策划与创意广告服务提供商，为用户提供以文化创意为核心的营销策划和广告创意服务，主要涉及地产推广、品牌策划、空间设计、艺术推广、杂志传媒等领域。,成都黑蚁文化创意股份有限公司,成都市武侯区七道堰街1号高升大厦5楼505B号,510107000103162,1999-05-05,付冰,2500万元人民币,91510107713039685R,www.blackant.cn
宇健康,北京辉煌众投健康管理有限公司,宇健康是一家专业的私人健康管理机构，致力于疾病预防，健康管理，诊前咨询，私人医生，便捷就医等为一体的综合服务体系，努力为更多的家庭提供专业的健康管理服务。,北京辉煌众投健康管理有限公司,北京市朝阳区工人体育场北路21号楼16层1单元1828，北京市朝阳区酒仙桥北路甲5号院B座201室,110105020293324,2015-11-28,杨思崇,500万元人民币,91110105MA0028LDX1,www.huihuangzt.com
爱新网,广州爱馨科技有限公司,公司简介:,广州爱馨科技有限公司,广州市天河区景邮路12号1127房（仅限办公用途）,440101000287961,2014-07-22,邓华,1000万元人民币,91440101304748974Y,www.inewsky.com
实发汽车,长春实发汽车科技股份有限公司,实发汽车是一家汽车零部件制造商，专注于从事汽车用橡胶制品的研发与设计，主要面向汽车生产厂商为其提供底盘橡胶金属粘接件、汽车电气系统的线束护套、车身堵件、防尘罩、缓冲块等。,长春实发汽车科技股份有限公司,,220106000026649,2011-04-21,赵乾,5857.143万元人民币,912201065711154347
国域无疆,大连国域无疆传媒集团股份有限公司,"""公司主营业务是以自有媒体为依托,为客户提供品牌宣传的整体传播策略,提供从户外媒介咨询、策划、购买、发布到设计、制作、监测与评估全方位“一站式”专业化服务,将广告发布及活动落地真正转换为受众的购买力。服务范围涉及户外媒体开发、户外媒体经营、工业造型设计、装饰工程等多个领域。公司运用科技和实力打造融入自然环境、适应城市发展需要、具有现代空间感、美观实用的广告媒体设施,志在将户外媒体艺术化、城市化、家居化、人性化,不断打造五星级户外媒体,提供高品质的户外体验。作为中国首家荣获中国驰名商标的广告企业,除在大连、沈阳""",大连国域无疆传媒集团股份有限公司,辽宁省大连长兴岛经济区临港工业区星岛路600号2单元8层1号,210200000219480,2000-09-14,王国军,3900万元人民币,9121020072347631XD,www.gywj.cn
润曼思,苏州润曼思电子科技有限公司,润曼思是一家专业的家用电器设计、制造、销售商。已经为国内外多家知名企业提供研发方案，取得客户的一致好评。公司重视先进技术和设备的引进，以及注重先进管理方法的推广，依靠先进的生产硬件和管理软件参与市场竞争。,苏州润曼思电子科技有限公司,,320508000131117,2015-05-07,金国庆,50万元人民币
依依股份,天津市依依卫生用品股份有限公司,天津市依依卫生用品股份有限公司成立于1990年5月，坐落在西青区张家窝镇工业园，是一家从事宠物护理系列与成人护理系列产品的生产销售。其中宠物护理系列包括宠物垫、宠物尿裤、宠物湿巾、宠物清洁袋、宠物垃圾袋；成人护理系列包括：母婴护理、成人纸尿裤、成人卫生巾、成人护理垫的公司。公司主要产品有山善宠物垫、Luan iiuuu、Freds宠物垫、伊藤尿裤、Petsmart尿裤、Petsmart尿裤、卫生巾、他卫生护理类产品。,天津市依依卫生用品股份有限公司,西青区张家窝镇工业区,120111000020279,1990-05-10,高福忠,6105万元人民币,91120111103789059M,www.tjyiyi.com.cn
