名字,公司,介绍,公司,地址,身份证,时间,法人,注册金额,编号,网址
复创医药,重庆复创医药研究有限公司,重庆复创医药研究有限公司（简称“复创医药”）由海外科学家团队与上海复星医药（集团）股份有限公司（简称“复星医药”）及其成员企业于2009年合资组建，是致力于研究并开发小分子化学药物的国家级高新技术企业。,重庆复创医药研究有限公司,重庆市北部新区人和街道星光大道100号,500000400037369,2009-03-18,吴以芳,1428.800000万美元,91500000686203397R,fochon.com
协特生物,上海协特生物科技有限公司,协特生物是一家生物技术研发商，主要从事生物科技领域内的技术开发、技术服务、技术转让与技术咨询。,上海协特生物科技有限公司,中国(上海)自由贸易试验区芳春路400号1幢3层,310141000236785,2015-12-04,张和平,1481.1052万元人民币,91310000MA1K33K68X
卡乐咪,卡乐咪体育发展（上海）有限公司,卡乐咪是一家专门从事儿童娱乐学习用品集研发、生产、销售和终端服务为一体的专业教育玩具运营百年公司，致力于为1.5-12岁儿童提供数量多达15000多种源自美国的教育玩具产品和完整的课程系列产品。,卡乐咪体育发展（上海）有限公司,上海市长宁区镇宁路465弄161号3号楼132室,310105000507606,2015-12-31,MICHAEL ZHANG,300万元人民币,91310105MA1FW1894C
款易,广州云藏信息技术有限公司,款易是一个餐饮行业saas平台。云藏信息开发的平台可以实现更全面、更简单、更便捷得实现管店、管人、管钱、点餐、收银、后厨管理等，从而让餐饮行业更简单。,广州云藏信息技术有限公司,,440106000696483,2012-10-19,陈昱,419.2885万元人民币,91440106054541304E,www.icloud8.cn
金盾安保,山东金盾安保科技股份有限公司,公司是一家集人防、技防相结合的规范化保安服务公司。公司一直专注于提供保安服务、联网报警服务、金融巡护服务、ATM防护舱销售等。公司服务主要面向政府机关、金融单位、学校、社区、企事业单位等机构类客户。,山东金盾安保科技股份有限公司,山东省泰安高新区南天门大街中段,370900228015225,2002-12-24,张建新,500万元人民币,91370900745684144A
量子光通,北京量子光通科技有限公司,量子光通是一家从事高端智能硬件研发与推广的互联网公司。公司致力于将智能硬件提升到一个更高的阶段。公司目前的主要业务是客户渠道的拓展以及线上平台的研究与推广。,北京量子光通科技有限公司,北京市海淀区复兴路甲65号-A5号楼403房间,110108013568091,2011-01-28,高化疆,500万元人民币,91110108569521097N
朗圣实验,湖南朗圣实验室技术股份有限公司,"""公司是以自有技术为核心的实验室专业工程解决方案服务商,也是实验室专业工程建设EPC总包模式倡导者。    秉承“以生活的理念建流程、用建筑的标准建系统”的经营理念。在实验室安全与健康、中央供应、承载与服务、环境保护四大专业系统建设领域,通过综合设计、定制生产、集约采购、统筹施工,使专业系统建设达到更安全、更经济、更快捷、更轻松的效果。为使用者提供专业、规范、安全、高效的理想实验环境。            朗圣多年来一直致力于各行各业实验室专业工程的建设,长期服务国内教学科研、第三方检测、石油化工、医疗卫生""",湖南朗圣实验室技术股份有限公司,长沙高新开发区麓松路与麓泉路交汇处延农创业基地8楼827号,430000000045454,2008-10-14,唐曾琦,1002万元人民币,91430100680316921P,www.lssys.com.cn
大哉乾元,深圳市大哉乾元科技有限公司,2013这年我们进入跨境电商这行，不断在外贸电子商务行业攀登，公司最开始以电子产品起家，产品多远销西欧、北美、澳洲等国家和地区，并在国际市场上占有一定的份额，形成固定客户，利润每年都在稳定增长。公司有多个电子商务平台，以多条路线齐发展共进步的方式抢占国际市场，为更好的实现客户、同事、公司共赢的目标，公司实行事业部制，以独立专业团队操作每个电商平台，公司不断引进专业的优秀人才，立志成为面向国际，站立中国的优秀电子商务公司。,深圳市大哉乾元科技有限公司,深圳市龙岗区南湾街道南湾社区布沙路222号3楼,440307113250284,2015-07-01,王小刚,50万元人民币,914403003428834481,www.marseetec.com
东亚股份,福建东亚环保科技股份有限公司,福建东亚环保科技股份有限公司主要从事风机产品的研发、生产和销售。公司的主要产品包括罗茨风机、离心风机、轴流风机三类。,福建东亚环保科技股份有限公司,闽侯县甘蔗街道闽侯县经济技术开发区南中路8号综合车间等3幢,350000100004760,1994-07-06,徐国平,8080万元人民币,91350000154670357C,www.fjblower.com
赛孚德,广州赛孚德电气有限公司,广州赛孚德电气有限公司专注于交流伺服系统及相关成套设备的研发、生产与销售。公司核心研发团队具有十余年的行业技术应用经验和跨国公司企业运营管理经验，在电机驱动与控制技术领域具有极强的创新能力，产品广泛应用于机床、金属加工、印刷、包装、机器人等行业设备。 在工业4.0时代，赛孚德致力于通过欧洲伺服技术应用为客户搭建智能工…,广州赛孚德电气有限公司,广州高新技术产业开发区科学城开源大道11号B1栋第六层,440108000112592,2015-07-20,张强,200万元人民币,914401013474963168,www.sevode.com
