名字,公司,介绍,公司,地址,身份证,时间,法人,注册金额,编号,网址
易利贷,厦门易汇利网络借贷信息中介服务有限公司,易利贷是一个P2P模式的在线借贷及互联网金融服务平台，投资用户可以选择易利贷推荐的投资的项目，获得较高的收益；企业融资用户，可以实现便捷快速的融资。厦门易汇利金融信息技术服务有限公司旗下网站。,厦门易汇利网络借贷信息中介服务有限公司,厦门市湖里区安岭路1001号801室之五,350200200081178,2014-01-07,罗虹璋,2000万元人民币,913502000793980307,www.lending51.com
Ocean&Forest,北京狮尚科技有限公司,经营范围包括技术开发、技术转让、技术咨询、技术服务;销售机械设备、电子产品、五金交电(不含三轮摩托车及残疾人机动轮椅车、不含电动自行车)、文化用品、日用品、自行开发的产品、化工产品(不含危险化学品及一类易制毒化学品);经济贸易咨询;建筑物清洁服务。,北京狮尚科技有限公司,北京市大兴区金星西路5号及5号院3号楼12层2单元1512,110108024234348,2017-10-11,周大凯,595.2381万元人民币,91110108MA0181N43C,www.oceanforest.cn
晟华元,武汉晟华元新材料科技有限公司,晟华元是一家节能调光玻璃及薄膜新材料研发商，主要产品包括调光玻璃、磁控百叶玻璃、LED光电玻璃、幕墙玻璃及纳米疏水薄膜等，主要应用于建筑、汽车、家居、电网等领域。,武汉晟华元新材料科技有限公司,武汉市东湖新技术开发区高新四路40号葛洲坝太阳城22栋5层04室-3,420100000406582,2014-04-23,付青青,119.0519万元人民币,91420100303424257D,whshytech.com
网达物流,网达物流科技有限公司,网达物流科技有限公司提供第二类增值电信业务中的信息服务业务，经营道路运输 物流信息咨询，软件开发，实业投资，国际货运代理，通讯器材的销售等服务。,网达物流科技有限公司,杭州市滨江区通和路68号中财大厦9楼,330000000034709,2005-01-18,李星亚,5000万元人民币,91330000770723061J
贯善生物,广州贯善生物科技有限公司,"""贯善生物是拥有三代测序、二代测序、蛋白质组学、临床医学、分子生物学等五大服务平台,致力于为生物技术领域的科研人员提供高质量的生物技术外包服务。""",广州贯善生物科技有限公司,广州市天河区东圃大马路38号38号之一236房,440106001294685,2015-08-20,陈树森,200万人民币,91440106355736420K,www.satxam.com
银链科技,深圳银链科技有限公司,银链科技是一个区块链公共技术开发平台，为金融机构提供区块链底层技术平台和解决方案，提供联盟链、云链和培训服务，旗下基于区块链的云技术能够点对点传递数字法币和数字资产、授权智能合约、并实时完成业务交易。,深圳银链科技有限公司,深圳市南山区粤兴三道深圳虚拟大学园产业化综合楼C205,440301106616800,2012-10-17,黄鑫鑫,500万元人民币,91440300055145610G,www.bankledger.com
武汉新芯,武汉新芯集成电路制造有限公司,武汉新芯是一家半导体公司，面向全球客户提供专业的12英寸晶圆代工服务，专注于存储器及特种工艺的研发与生产，其中，闪存与影像传感器技术工艺居世界领先水平，产品广泛应用于计算机、手机、数码相机、数字家电等领域。,武汉新芯集成电路制造有限公司,武汉市东湖开发区高新四路18号,420100000047585,2006-04-21,杨道虹,555700万元人民币,91420100783194808R,www.xmcwh.com
熊猫视频壁纸,深圳市掌上远景科技有限公司,深圳市掌上远景科技有限公司专注于手机游戏开发及移动支付SDK和广告SDK的开发运营。,深圳市掌上远景科技有限公司,深圳市南山区粤海街道高新南一道008号创维大厦A座302A,440301105530582,2011-07-01,陈飞,100万元人民币,91440300577683248C,www.zsyj.com.cn
有间房,西安桔家软件科技有限公司,《有间房》是一家主打钟点房、午夜房的手机订房助手，全国范围内钟点房、午夜房的快速预订，以最短的时间预定到性价比最高的房间。西安桔家软件科技有限公司旗下产品。,西安桔家软件科技有限公司,西安市高新区唐延南路东旺座时代B区（旺座现代城）一期第2幢1单元2层10205、10206号房,610133100024719,2013-09-26,陈全科,300万元人民币,916101330734409476
冰川网络,深圳冰川网络股份有限公司,深圳冰川网络是一家网络游戏开发商，旗下已经拥有了大型网络游戏：《远征OL》、《龙武》，网页游戏：《神战九天》、《神器OL》、《枭雄传》五款产品以及一个自主页游运营平台(yy.q1.com)。,深圳冰川网络股份有限公司,深圳市南山区科技中二路1号深圳软件园（2期）9栋601、602室,440301103144703,2008-01-21,刘和国,10124.6万元人民币,91440300671868185H,www.q1.com
奥然生物,奥然生物科技（上海）有限公司,奥然生物是一家分子诊断技术研发商，集产品研发、生产、销售于一体，拥有医疗诊断领域完整产业链。已成功研发一系列适用于微生物检测、个性化用药基因检测、癌症检测、法医物证、食品安全等领域的全自动化检测仪、试剂及试剂智能盒。,奥然生物科技（上海）有限公司,上海市浦东新区广丹路222弄12号一层,310115400298730,2015-03-04,STEVE JIA CHANG YU,789.1163万元人民币,91310115329614737B,www.igenesisbio.com
导电墨水,武汉润易尚光电科技有限公司,润易尚光电科技-导电墨水是一个导电墨水项目。主要做水性碳系导电墨水。与银浆相比成本较低；与市面上已有碳系导电墨水相比，项目采用水性方法，污染较低。整个市场还处于培育期，可以用到的地方不多，与存量碳系导电墨水市场相比，优势不算太明显，主要在于减少制造过程中的一些污染。主要产品和盈利模式分为三个部分：1 油墨 2 电路板 3 模块化软件。,武汉润易尚光电科技有限公司,,420106000621161,2017-03-16,张雯晴,200万元人民币,91420106MA4KRMMMXF
荣辉矿业,西藏荣辉矿业股份有限公司,西藏荣辉矿业股份有限公司主营业务为有色金属矿产开采、矿产品加工和销售。公司的主要产品包括铅精粉（含银）和锌精粉。公司拥有的矿权包括日乌多采矿权、章若探矿权。,西藏荣辉矿业股份有限公司,拉萨市金珠西路158号康达汽贸城院内综合办公楼东二层3号,540091200000328,2006-04-10,李明,5560万元人民币,91540091783504984K,www.ronghuimining.com
丽妃丹,重庆丽妃丹生物科技有限公司,丽妃丹集团是一家女性生殖健康产品制造商，采用医养护一体化模式，主要产品包括基于中医药生物科技的丽妃丹缩阴祛斑凝胶，以及牛樟芝系列等。,重庆丽妃丹生物科技有限公司,重庆市沙区小龙坎正街290-3-2-4号,500106000038679,1999-07-05,杨培源,1200万元人民币,91500106203296032R,lifeidan2016.wz.dlszywz.com
ArtC阿特莱尔,阿特莱尔（北京）艺术顾问有限公司,ArtC阿特莱尔是一家艺术顾问管理综合服务公司，业务包括艺术顾问、艺术金融、SAMAS、艺术管家等，以顾问业务为基础整合行业信息资源，艺术管家提供配套服务，后续再接入金融服务打通整个生态链条，SAMAS负责造血的同时将艺术带入公共事业，由此建立一套标准化的一站式艺术品市场服务体系。,阿特莱尔（北京）艺术顾问有限公司,北京市朝阳区酒仙桥路甲16号十一层A70,110105022452541,2016-11-21,张羽,1000万元人民币,91110105MA009N0848,www.artcare.com
仓擎智能,仓擎智能科技（上海）有限公司,仓擎智能科技（上海）有限公司主要提供智能科技、物联网领域内的技术咨询、技术服务；智能设备设计，计算机软件的设计、开发、制作等服务。,仓擎智能科技（上海）有限公司,中国(上海)自由贸易试验区新金桥路581号东单元二楼,,2018-10-24,SONG ZHIWEI,500万元人民币,91310115MA1K47PFXG
买卖三,昆明康誉科技有限公司,一款立足本地经销商营销、企业采购的应用。通过对经销商反向竞卖模式和为企业搭建的备件管理、决策、采购的体系，完成企业对经销商设备零备件的采购。,昆明康誉科技有限公司,,530100100363104,2013-11-25,董学俊,100万元人民币
浙大中控信息,浙江浙大中控信息技术有限公司,?,浙江浙大中控信息技术有限公司,杭州市滨江区滨康路352号2号楼23-25层,330000000034717,1999-10-24,章如峰,11000万元人民币,91330000717612610R,www.supconit.com
