名字,公司,介绍,公司,地址,身份证,时间,法人,注册金额,编号,网址
瀚翼扬,广州瀚翼扬电子商务有限公司,广州瀚翼扬电子商务有限公司成立于2011年，是以外贸电子商务运营为核心业务，以欧美市场为战略重点的跨国电子商务公司。公司通过自主品牌战略定 位，在Amazon、EBay、速卖通等竞争平台获得稳健发展。,广州瀚翼扬电子商务有限公司,"""广州市海珠区新港西路135号大院园西区705号楼中大科技园B座自编号1607,1608,1609房（仅限办公用途）""",440126000567822,2015-05-19,谭亚云,100万人民币,91440113340074436Q
安帮客,上海帘邦信息科技有限公司,安帮客是一个为家居建材商家提供全国各地安装服务的平台。通过移动互联网技术把全国的安装师傅和家居建材卖家连接起来，帮建材卖家和互联网建材平台匹配安装地址最近的师傅，帮师傅提供更多的安装订单。,上海帘邦信息科技有限公司,上海市嘉定区菊园新区环城路2222号1幢J125室,310114003001643,2015-12-07,唐洪奎,505.05万元人民币,91310114MA1GT3149H,www.anbangke.cn
邻汇吧,杭州邻汇网络科技有限公司,领汇吧是一个闲置场地在线预定平台 ，专注于为线下品牌推广或零售活动提供人流聚集的闲置场地在线预定服务，提高社区、写字楼、商场、地铁、景区等场景流量的获取效率。还可以为用户提供高流量的线下广告投放场地。,杭州邻汇网络科技有限公司,杭州市余杭区仓前街道良睦路1288号7号楼205室,330184000346460,2015-03-05,李颖翀,118.551万元人民币,91330110328245001U,www.linhuiba.com
水木金谷,佛山水木金谷环境科技有限公司,水木金谷是一家流域水生态修复服务提供商，该公司以生态海绵城市建设为主题，以水环境综合整治为核心，通过材料科技、施工技术，改善城市地表铺装的透水性能，缓解“热岛效应”，从源头减排到末端治理，并且建立了一套全产业链的流域水生态修复体系。,佛山水木金谷环境科技有限公司,,440682000769261,2016-08-03,别力子,6315.79万元人民币,91440605MA4UTB9A9R,www.shuimujingu.com
天工标识,合肥天工标识标牌有限公司,天工标识是一家建筑标识牌设计生产商，目前主要服务产品为标识系统规划设计、标识标牌制作、信报箱定制，开发出标准型、经典型、智能型、别墅型4大系列80多种产品。,合肥天工标识标牌有限公司,,340100000505739,2011-04-07,史道发,1000万元人民币,91340100571793091L,www.tgbp.net
Info Salons,澳龙信息科技（上海）有限公司,Info Salons作为全球最大的会展IT服务商之一，在澳洲已有24年历史，为澳大利亚和亚洲的很多主办方提供安全成熟的注册登记服务。从1989年起，Info Salons在澳洲、亚洲以及中东地区开始了计算机化会展注册登记服务的运营。从1990年的10个到2014年的700多个，我们所服务的会展数量的变化折射出Info Salons的发展壮大。目前我司在澳大利亚、中东、中国香港、上海都建立了自己的办公室。每年为全球超过700余场会议及展览提供包括数据库管理和现场观众登记在内的全面服务。Info Salons,澳龙信息科技（上海）有限公司,中国（上海）自由贸易试验区郭守敬路351号2号楼A604－09室,310115400201506,2006-07-31,JO-ANNE KELLEWAY,14万美元,9131000079144706X0,www.infosalons.com.cn
全民攻略,安徽新游创梦网络技术有限公司,全民手游攻略是新浪游戏旗下新游创梦为玩家量身打造的一款手游攻略问答应用。网罗通关制胜技巧秘籍，帮助玩家炼就骨灰级别的得力法宝。安徽新游创梦网络技术有限公司属于新浪控股的全资子公司，有着完备的公司运营管理经验及成熟的业务流水线，以移动端开发为主要方向，致力成为中国领先的移动应用开发商和运营商。,安徽新游创梦网络技术有限公司,,340200000235390,2015-06-08,张莉,1200万元人民币,91340200343914103A,wan68.com
朝阳钢铁,鞍钢集团朝阳钢铁有限公司,朝阳钢铁是一家钢材生产商，拥有年产200万吨精品板材生产线 。,鞍钢集团朝阳钢铁有限公司,,211300004008548,2007-07-19,于峰,800000万元人民币,91211303664560991G,www.chaoyangsteel.cn
宏创科技,扬州宏创科技发展股份有限公司,宏创科技是一家从事互联网技术服务的科技企业，拥有多项自主知识产权，是“双软”认证企业。自主研发的“龙会易购”电子商务平台，为线下零售服务企业提供了线上营销平台。公司致力于向实体企业提供一流的营销理念，增强竞争力。,扬州宏创科技发展股份有限公司,扬州市江都区经济开发区科技大厦白沙中路1号,321088000261013,2013-03-13,张军,2000万元人民币,9132100006327122X5,www.yzhongchuang.com
艾尔美科技,深圳市艾尔美科技有限公司,深圳市艾尔美科技有限公司的产品涵盖应用于手机、mp3，各种数码产品等电器上的拨动开关、轻触开关等各类电子开关元件。,深圳市艾尔美科技有限公司,深圳市龙华新区观澜街道横坑环观中路45号朋勇工业中心A座4楼,440301103633854,2006-10-25,潘惠芳,100万元人民币,91440300795401202J,aremit.com.cn
