名字,公司,介绍,公司,地址,身份证,时间,法人,注册金额,编号,网址
TaoCloud,北京大道云行科技有限公司,TaoCloud成立于2014年10月，是北京大道云行科技有限公司品牌，专注于软件定义智能存储产品研发及技术服务的专业厂商，以分布式文件存储为先锋，围绕软件定义、智能化、国产化和超融合系统构建了完整的SDS产品线和解决方案，可为用户的物理/虚拟/云化数据中心提供创新和高效的存储及数据管理方案。TaoCloud是一家存储及数据管理解决方案提供商，专注于ServerSAN、分布式文件系统、高性能NAS等软件定义存储系统和超融合技术研发及产品服务，为客户提供高效智能的存储及数据管理解决方案。,北京大道云行科技有限公司,北京市海淀区西小口路66号中关村东升科技园B-2号楼二层D202室(东升地区),110108018502017,2015-01-16,刘爱贵,133.33万元人民币,911101083272391527,www.taocloudx.com
美迪凯光电科技,杭州美迪凯光电科技有限公司,中国·美迪凯控股集团是位于杭州下沙的一家私营企业。集团旗下境内外分公司11家，600多员工，其中技术研发人员100余人。集团旗下公司总占地面积5.7万平方米，建筑面积4.6万平方米。集团产业涉及投资、进出口、自动化设备的研发和制造、光学光电子产品及零部件的研发和制造。美迪凯集团相继引进了国际上的高精尖的生产设备和检测仪器并与国际上优秀的原材料供应厂家结成战略联盟，确保集团企业在行业中的品质领先地位。集团企业产品主要应用于智能高清拍照手机、安防摄像机、汽车摄像头、投影仪、单反相机等数码设备中。公司被评为浙江省高新技术企业，其中公司的“光学低通滤波器”产品，被立项为2003年度国家级火炬计划项目，“光学低通滤波器、红外通过滤波器”产品被浙江省认定为浙江省高新技术产品。集团三大系列主导产品如应用于安防监控摄像头的“光学低通滤波器”、应用于投影仪的“水晶散热板”和“蓝宝石散热板”销售量位于全球前列。集团企业已全面导入ISO9001、ISO14001、OHSAS18001等管理体系，并顺利通过索尼GP认证。公司严格按照诸体系要求执行，为“成为一个受尊敬的百年企业”而大步前进。,杭州美迪凯光电科技有限公司,浙江省杭州经济技术开发区白杨街道20号大街578号3幢,330198000028838,2010-08-25,葛文志,3943.8202万元人民币,913301015605619658,www.chinamdk.com
菜菜家,黑龙江鹏汉科技有限公司,"""菜菜家是一个。亲临现场, 亲手种下你喜爱的果蔬。也可全程托管操作, 感受真实的""""一键收菜""""、农场每周更新各专属菜园的长势图片，“地主”可以在我的菜园 管理模块中，查看自家或者临家菜园的生长情况。在全托管模式下， 地主负责土地的经营管理，只要下达翻地、播种、浇水、施肥、拔草、 采摘等指令，即有线下专业农技团队完成所有耕作。在举办活动时，开启多个户外直播互动聊天室，就可以进入到聊天室当中，可以远程观 看菜园全部直播活动，同时可随时参与互动聊天。""",黑龙江鹏汉科技有限公司,哈尔滨市南岗区上夹树街54号2127栋1层3号,230103101235712,2018-01-04,万永喜,500万元人民币,91230103MA1AXG693R,penghansoft.com
CMGE中国手游,成都云卓越科技有限公司,"""中国手游集团有限公司是第一视频集团投资、于20005年开始正式运营的专业移动游戏开发商与运营商，目前我们拥有员工1000名，核心游戏研发人员450名，公司分布于北京、上海、成都、深圳、香港，未来我们将继续进军中国的各大一线城市以及东南亚广大的游戏市场。CMGE中国手游是国际领先的移动游戏开发商与发行商，专注于移动游戏的开发及发行，于2012年9月25日登陆美国纳斯达克，股票代码为“CMGE”。, CMGE中国手游旗下卓越游戏，是国际领先的移动游戏开发商与运营商，专注于移动游戏的开发及运营。卓越游戏拥有雄厚的游戏研发实力，自主研发多个单机游戏、网络游戏及游戏平台产品。, 卓越游戏拥有国内一流的移动游戏运营团队，提供专业深度的游戏运营服务，并已在中国建立起庞大而稳固的广告联盟渠道、自有游戏平台渠道、国内外各大应用商店渠道、终端内置渠道及各大移动运营商渠道。, 卓越游戏以“公正尽责合作创新”为企业价值观，坚持“用户第一”的理念，致力为用户提供出色的产品和有效的服务，持续创新，提升玩家体验，创造手机游戏与社会文化相融合的环境，从而实现“移动游戏快乐生活”的品牌宣导""",成都云卓越科技有限公司,,510109000344426,2012-09-28,岳义丰,75万元人民币,91510100054914836G,www.cmge.com
慧嘉科技,北京慧嘉科技有限公司,北京慧嘉科技有限公司是一家软件开发商。,北京慧嘉科技有限公司,北京市海淀区双清路1号院内6号楼(北)三层325-10,110108023071488,2017-03-09,高晖,500万元人民币,91110108MA00CF5N30
创想童年,杭州创想童年科技连锁有限公司,创想童年是一家儿童STEAM教育服务提供商。截至2018年底，创想童年已拥有十一家直营中心，十家加盟中心，是国内首家提出4C+4P的教学方式的创客教育机构。全面采行美国新一代人才培育STEAM课程整合理念，并同步落实MIT人类智能学习研究团队创意学习4P教学法，同时以K12课程体系为引领，为学生打好扎实的实践基础。,杭州创想童年科技连锁有限公司,拱墅区万通中心4幢702室,330105000115244,2009-09-01,沈微微,300万元人民币,91330105694554146X,www.createbaby.com
见道科技,见道（杭州）科技有限公司,见道科技是一个人工智能医疗服务平台，主要针对慢性代谢性疾病患者，通过人工智能算法开发，大数据分析挖掘，营养学，慢性病理学的联合应用，为患者提供个性化饮食建议，打造饮食健康领域的运用。,见道（杭州）科技有限公司,浙江省杭州市萧山区宁围街道民和路800号宝盛世纪中心1幢中科宝盛科技园2401室-1,330181000748417,2017-08-29,阚晶,500万元人民币,91330109MA28XEN290,www.jiandao-ai.com
天津新科技,天津海泽华宇新能源科技集团有限公司,,天津海泽华宇新能源科技集团有限公司,,120106000070013,2014-06-30,刘泽宇,12000万元人民币,9112000030076909X9
轻盈医院,北京轻盈医院管理有限公司,北京轻盈医院管理有限公司基于母公司轻盈医学面向大范围医生服务而积累的用户基础和专业品牌，轻盈医院主要向基层医疗市场提供服务，聚焦于与高端医生的深度连接。,北京轻盈医院管理有限公司,北京市海淀区永澄北路2号院1号楼B座四层27室,110108022324748,2016-11-02,王玉莹,336.54万元人民币,91110108MA0098FK78,www.qingyinghealth.com
盈联智能,苏州盈联智能科技股份有限公司,盈联智能集团是香港上市公司“中国智能集团”（0395.HK）的子公司，是一家以服务智能消费购物为核心，打造新一代的“智能场景O2O解决方案和平台”的移动互联网服务商， 服务于各大智能零售商超场景、智能旅游场景、智能交通枢纽场景等，并注入全新“智能场景机器人”，全力推动智能场景应用技术在全球的开展。 公司在苏州工业园区设计研发总部，并在上海、广州、北京、香港、澳门、韩国、日本等地设有分公司，是国内实力技术领先的移动互联网智能场景应用方案提供专家。,苏州盈联智能科技股份有限公司,苏州工业园区东平街288号,320594000004445,2006-03-17,关志恒,3480万元人民币,91320000785980917X,www.smartac.co
