名字,公司,介绍,公司,地址,身份证,时间,法人,注册金额,编号,网址
中科启元,北京中科启元教育科技投资有限公司,中科启元是一家专业致力于中国学前教育事业发展的公司。本着“集团投资、品牌经营、科学管理、规模发展”的原则，将教育规律和产业化运作、企业化管理规律结合，形成了独特的国有性质教育产业模式。,北京中科启元教育科技投资有限公司,北京市海淀区中关村南三街15号综合楼（办公）八层,110000010156906,2007-04-23,翟秋翌,3000万元人民币,911101086621504380,www.casqy.com
盈胜智慧科技,江西盈胜智慧科技有限公司,盈胜智慧科技是一家物联网水气表运营科技服务平台服务商，能够有效解决供水气单位的用户跑冒滴漏问题；供水气单位的用户应收账款问题；供水气单位巨大改造资金压力问题；用气安全问题。物联网水表系统运营服务已在赣州市崇义县建立示范样板，正在其他县市区推广。,江西盈胜智慧科技有限公司,,360700210054557,2016-09-07,王晶晶,508万元人民币,91360700MA35KEKX1C
蓝睿通达,北京蓝睿通达科技有限公司,"""北京蓝睿通达科技有限公司作为极智出行品牌下技术服务公司主要从事城市公共交通、地铁的移动互联网运产品及业务平台开发、建设、管理及运营,为各地公众出行运营商提供开放式的公交互联网运营整体解决方案.""",北京蓝睿通达科技有限公司,北京市北京经济技术开发区荣华中路7号院4幢2062,110302015472651,2012-12-13,邹德强,100万元人民币,911103020592194455,www.blue-ring.net
溪流澎湃,石家庄市溪流澎湃文化传播有限公司,我们深知,石家庄市溪流澎湃文化传播有限公司,河北省石家庄市新华区康乐街8号尚德国际商务中心1910室,130105000046637,2013-06-07,刘炜,50万元人民币,91130102070818190C
当地旅行,厦门异地信息科技有限公司,当地旅行是一个当地特色旅行方式预订平台。我们的使命是让你的每一次旅行更加有趣。,厦门异地信息科技有限公司,厦门市思明区洪文二里117号之十五,350203200533171,2015-03-13,李智,105.26万元人民币,913502033031652598,www.mamadewaimai.com
铁血网,北京铁血科技股份公司,铁血网是一个军事资讯媒体平台，平台专注为用户提供军事内容，包括军事资讯、军事论坛、军事小说、军事图片和游戏等，致力于为军事爱好者提供新鲜的、优质的军事内容，同时平台还为用户提供军服和军鞋等购买服务。,北京铁血科技股份公司,北京市海淀区丹棱街18号1号楼4层410,110108006895546,2004-04-27,蒋磊,5997.5062万元人民币,91110108762186980N,www.tiexue.net
瑞明节能,浙江瑞明节能科技股份有限公司,浙江瑞明节能科技股份有限公司始建于2002年，是一家集研发、培育以及拓展节能门窗系统产业链示范基地为一体的建筑节能典范企业，总部位于浙江省德清县。公司依托10万平方米的现代化运营基地承载高科技的型材喷涂、穿条、木铝复合、实木包覆等自动化加工设备，资深科研团队与高标准配置的试验检测车间相辅相成，真正实现运营管理的规模化、品质化、标准化。主营产品有纯木仿古门窗、铝包木门窗、铝木门窗、铝合金门窗、德国旭格铝合金门窗、德国诗丹铂豪阳光房。瑞明研发中心自2005年成立至今已先后开发出百余项新产品，其中90项已获得国家,浙江瑞明节能科技股份有限公司,浙江省德清县武康镇逸仙路328号,330500400009294,2002-04-26,董呈明,10000万元人民币,91330500738421004J,www.roomeye.cn
九典制药,湖南九典制药股份有限公司,湖南九典制药股份有限公司产品分为药品制剂、原料药、药用辅料和植物提取物，公司现有制剂品种101个、原料药品种16个、药用辅料品种17个、植物提取物品种30个。　　公司为国家火炬计划高新技术企业、国家高技术产业化示范工程企业、湖南省高新技术企业，被认定为湖南省企业技术中心、凝胶膏剂湖南省工程研究中心、湖南省呼吸道药物工程技术研究中心，主要产品技术均处于国内领先水平，已获得与主要产品相关的专利22项，4个产品被列为国家重点新产品，7个项目分别获得湖南省科技进步二、三等奖，9个项目分别获得长沙市科技进步一、二、三,湖南九典制药股份有限公司,长沙市浏阳经济技术开发区健康大道1号,430181000023195,2001-01-19,朱志宏,23468万元人民币,91430100722520761D,www.hnjiudian.com
圣石路,成都圣石路科技有限公司,圣石路是一家集ITO业务、BPO业务、AMO业务外包为一体的信息技术企业，主要从事面向日本的软件外包开发业务（ITO）、面向日本市场的高端业务流程外包服务（BPO）、面向日本为客户提供全方位的系统后期维护和应用外包服务（AMO）以及面向国内市场的包括云计算、物联网服务在内的服务平台，隶属于成都圣石路科技有限公司。,成都圣石路科技有限公司,成都高新区世纪城南路599号天府软件园D区6栋505号,510109000543795,2015-02-13,张振,200万人民币,91510100321609829N,www.sense-lu.com
森维园林,广东森维园林股份有限公司,森维园林是一家从事园林景观规划、设计、施工以及苗木供应的专业公司，项目开发中营造出园林融于自然、园林融于建筑的园林文化景观，成功开发了众多的住宅、别墅、公园、旅游度假景区、公共建筑、工业建筑等园林特色精品项目。,广东森维园林股份有限公司,广州市越秀区东华南路98号1201房自编A、B单元（仅限办公用途）,440104000133848,2002-03-05,胡刚,4798.3046万元人民币,91440101734911786R,www.sunrace-landscape.com
