名字,公司,介绍,公司,地址,身份证,时间,法人,注册金额,编号,网址
新锋锐,新疆新锋锐石油技术服务股份有限公司,"""公司成立于2009年3月,注册资金3000万元。公司注册地址是克拉玛依市经四路206号。主要办事机构及制造基地位于克拉玛依市石化工业园区内,办公楼大约面积为2000平方米,车间和仓库面积大约1800 平方米。从成立之初主营业务PDC钻头的研发、生产和销售以及现场服务到最近两年逐步转型为集PDC钻头的研发、生产和销售(或服务)和钻井提速工具的研究制造和现场服务, 2014年11月,公司自主研发的钻井提速工具在b9830井第一次应用成功,标志着我公司业务从单纯的PDC生产和服务商向PDC钻头和钻井提速工具制造和""",新疆新锋锐石油技术服务股份有限公司,新疆克拉玛依市经四街206号,650200050008227,2009-03-16,曾卫林,3847万元人民币,916502006864508493
爱家TV,北京和谐未来教育科技有限公司,爱家TV是智能电视应用平台，目前应用平台集合了300余个智能电视开发者和1000余款相关应用。,北京和谐未来教育科技有限公司,北京市海淀区信息路甲28号7层D座07A,110108010573875,2007-10-29,高军,212.766万元人民币,91110108668422051R,www.ijiatv.com
天立,大连天立软件有限公司,天立集团总部位于深圳，在大连、上海、武汉、成都都设有分支机构。大连天立软件有限公司是天立集团在大连的分支机构。天立软件有着经验丰富的的管理团队，强大的技术和资源管理系统。 对行业的深入了解、优秀的人才储备以及良好的客户关系，奠定了大连天立软件在本地服务市场的优势地位。天立软件专注于为金融服务、石油电力、电信、物流、交通等行业提供IT服务，使telisoft成为行业优秀的IT解决方案和服务供应商。,大连天立软件有限公司,辽宁省大连市甘井子区软件园路2号B8座一层102室,210231000046778,2012-07-18,陈海涛,100万元人民币,912102315944473868,www.teligroup.com
好家庭集团,深圳市好家庭实业有限公司,好家庭集团是一家专注于运动与健身行业的器械生产销售商，公司拥有“一站式运动装备名品超市”的好家庭运动城（GF-SPORTS+）品牌以及健身器材连锁（GF-FITNESS）品牌。,深圳市好家庭实业有限公司,深圳市罗湖区人民南路3002号国贸大厦37层东南侧,440301102829040,1994-06-28,张佳华,5304.6875万元人民币,9144030027946141XW,www.goodfamily.cc
三迪时空,三迪时空网络科技（北京）有限公司,"""三迪时空是整合3D打印行业资源的3D打印公共服务平台,包含3D打印服务、3D打印模型、3D打印资讯、3D打印商城等板块,为3D打印机，3D打印材料、技术的发展和建设提供强劲动力。""",三迪时空网络科技（北京）有限公司,青岛市市北区四流南路80号乙B区3号楼,110108018652588,2013-10-23,黄思路,1000万元人民币,91110108330356894C,www.3dfocus.com.cn
睿超科技,深圳市睿超科技有限公司,睿超科技是一家专注于互联网运营的网络科技公司，专注实战搜索技术和互联网营销8年，公司主营业务有跨境电商、电商代运营、进口电商、自有平台电商运营、电商方案解决、电商seo、外贸seo及海内外互联网营销服务。,深圳市睿超科技有限公司,深圳市龙华新区民治街道东边商务大楼9036,440301108824037,2014-02-19,韦晓燕,500万元人民币,91440300088461775Y,www.ruichaokeji.net
快企文化传播,广西快企文化传播有限责任公司,快企文化传播是一家专注于企业品牌营销的综合平台公司，覆盖品牌策划、品牌设计、品牌服务、品牌印刷、物流配送、快企学院六个事业部，旨在整合企业营销水电煤系统，向广大用户提供品牌营销配套产品和服务，解决企业在品牌推广过程中遇到的种种难题。,广西快企文化传播有限责任公司,南宁市西乡塘区高新大道150号人和·莱茵鹭湖3号楼2单元603号,450111000200371,2016-08-04,张邦槟,200万元人民币,91450100MA5KDJAJ60,www.kuaiqi.me
金海马商城,深圳市金海马电子商务有限公司,金海马商城是一款移动购物和生活消费类APP。深圳市金海马电子商务有限公司旗下。,深圳市金海马电子商务有限公司,深圳市前海深港合作区前湾一路1号A栋201室（入驻深圳市前海商务秘书有限公司）经营场所：深圳市南山区南海大道西桃园路南西海明珠花园F座11楼A75房,440301503477652,2014-04-09,翟增太,1000万元人民币,91440300088549873B,www.kinhom.com
小米,小米科技有限责任公司,小米科技是一家智能消费电子产品研发商，专注于从事移动通讯终端设备的研发与设计，旗下主要产品包括智能手机、互联网电视、平板电脑、笔记本电脑、智能扫地机器人及相关智能家居产品等。用户还可通过小米社区进行在线交流。,小米科技有限责任公司,北京市海淀区清河中街68号华润五彩城购物中心二期13层,110108012660422,2010-03-03,雷军,185000万元人民币,91110108551385082Q,home.mi.com
奇境森林,深圳奇境森林科技有限公司,深圳奇境森林科技有限公司位于深圳市南山区，属于高新技术密集型企业，成员来自于腾讯、Cognizant等知名公司。本公司专注虚拟现实游艺技术的研发、运营与推广应用，与全国各地游艺运营商合作，共同打造完美的虚拟现实体验方案。,深圳奇境森林科技有限公司,深圳市宝安区西乡街道名优工业产品展示采购中心B508,440301113958128,2015-09-21,赵新政,350.8万元人民币,91440300358207268E,www.btevr.com
上海临港,上海临港控股股份有限公司,上海临港控股股份有限公司主营业务为园区开发与经营、园区服务。公司所属的松江园区、康桥园区、南桥园区和上海自贸区洋山片区均位于上海未来城市发展的重点板块，是上海建设“具有全球影响力科技创新中心”和“中国自由贸易实验区”战略的重要载体。,上海临港控股股份有限公司,上海市松江区莘砖公路668号3层,310000400099813,1994-11-24,袁国华,111991.9277万元人民币,913100001322046892,www.lingangholding.com
乐天互动,深圳市乐天互动科技有限公司,乐天互动专注于移动互联网媒体的研究和广告产品研发，集移动媒体、应用技术、移动公关和整合营销全案服务为一体；以移动整合营销和移动应用技术创新为驱动；致力于中国区域市场和移动受众定向研究。乐天互动依托全国广告平台，为商业客户提供新媒体交互体验和跨媒体整合营销传播，实现无线应用线上线下无缝衔接。,深圳市乐天互动科技有限公司,深圳市福田区福保街道保税区市花路南花样年福年广场B栋4层2单元427号,440301109763317,2014-07-03,张翔,500万人民币,91440300398525308Y
医陪伴,千济方（北京）健康管理有限公司,医陪伴是一家为肿瘤患者提供医生陪伴的服务商。致力于提高癌症患者生存率、改善癌症患者生活品质。,千济方（北京）健康管理有限公司,北京市西城区广安门内大街338号2层210,,2019-03-12,赵晶,1000万元人民币,91110102MA01HMH76U,peiban85.com
七里坪度假区,四川洪雅七里坪半山旅游开发有限公司,七里坪度假区是一个旅游景区，该项目立足“原生态、高品位、国际化”的开发理念，以构建世界避暑养生目的地为目标，打造集高尚山地运动、半山温泉、休闲度假、避暑养生、五星级奢侈山野主题酒店等于一体的国际化旅游度假区。,四川洪雅七里坪半山旅游开发有限公司,,511423000000572,2007-10-31,金山,16400万元人民币,91511423667424135F
借宿,杭州二金蝶堂文化创意有限公司,借宿是开始众筹旗下的民宿业务品牌，致力于打造非标住宿行业的综合服务商，未来将深度切入民宿行业各个垂直细分领域，以金融解决方案、品牌媒体解决方案、线下行业品牌活动、行业基础教育培训、借宿严选榜单等五大矩阵服务非标住宿行业。,杭州二金蝶堂文化创意有限公司,杭州市余杭区余杭街道禹航路66-3号1幢312-10室,330102000122962,2014-05-19,夏雨清,100万元人民币,91330110099982584P
数字政通,北京数字政通科技股份有限公司,数字政通是一家数字化城市管理、创新社会管理、智能交通解决方案、平安城市解决方案等领域的企业，专注于为客户提供并实施包括数字化城市管理、城市三维实景测量、地下管线、网格化社会管理、电子警察、治安卡口、城市监控、智能停车场管理在内的与智慧城市建设相关的海量的解决方案。,北京数字政通科技股份有限公司,北京市海淀区西直门北大街32号枫蓝国际中心A座18层1805室,110108003382370,2001-11-06,吴强华,42434.0905万元人民币,91110000801160143K,www.egova.com.cn
